0.094200% done, reward: 100.000000
0.203700% done, reward: 110.000000
0.328000% done, reward: 126.666667
0.422100% done, reward: 120.000000
0.516200% done, reward: 124.000000
0.674000% done, reward: 156.666667
0.768100% done, reward: 151.428571
0.862200% done, reward: 145.000000
1.027000% done, reward: 166.666667
1.121100% done, reward: 160.000000
1.205300% done, reward: 152.727273
1.299400% done, reward: 146.666667
1.443400% done, reward: 158.461538
1.598200% done, reward: 164.285714
1.692300% done, reward: 158.666667
1.839900% done, reward: 163.750000
1.934000% done, reward: 158.823529
2.028100% done, reward: 152.941176
2.175700% done, reward: 156.666667
2.333500% done, reward: 156.111111
2.486300% done, reward: 159.473684
2.619200% done, reward: 158.500000
2.776900% done, reward: 158.333333
2.847700% done, reward: 154.603175
2.941900% done, reward: 151.212121
3.089500% done, reward: 153.333333
3.247200% done, reward: 153.260870
3.346200% done, reward: 153.541667
3.503900% done, reward: 153.500000
3.663500% done, reward: 163.360000
3.747700% done, reward: 160.923077
3.907200% done, reward: 159.769231
4.001400% done, reward: 158.296296
4.139000% done, reward: 160.500000
4.233100% done, reward: 158.413793
4.327200% done, reward: 157.133333
4.492000% done, reward: 161.741935
4.624900% done, reward: 161.062500
4.779700% done, reward: 164.666667
4.873900% done, reward: 162.764706
4.968000% done, reward: 161.542857
5.067000% done, reward: 160.388889
5.151200% done, reward: 158.756757
5.299400% done, reward: 158.263158
5.393500% done, reward: 156.256410
5.548200% done, reward: 157.850000
5.707700% done, reward: 157.766667
5.865700% done, reward: 159.772358
6.011400% done, reward: 162.158730
6.105600% done, reward: 160.713178
6.189700% done, reward: 158.878788
6.349200% done, reward: 158.840909
6.448200% done, reward: 157.977778
6.542300% done, reward: 157.152174
6.641300% done, reward: 156.361702
6.800800% done, reward: 156.255319
6.899800% done, reward: 155.916667
7.064600% done, reward: 157.224490
7.158700% done, reward: 156.880000
7.252900% done, reward: 156.549020
7.347000% done, reward: 155.461538
7.431100% done, reward: 155.169811
7.525200% done, reward: 154.148148
7.619300% done, reward: 153.527273
7.703400% done, reward: 152.214286
7.871700% done, reward: 156.210526
7.965900% done, reward: 155.241379
8.060100% done, reward: 153.966102
8.154200% done, reward: 153.733333
8.365900% done, reward: 161.049180
8.581700% done, reward: 161.540984
8.664000% done, reward: 160.225806
8.758100% done, reward: 159.904762
8.969800% done, reward: 159.746032
9.110600% done, reward: 160.687500
9.195900% done, reward: 159.446154
9.280000% done, reward: 158.848485
9.730000% done, reward: 159.378788
10.180000% done, reward: 159.696970
10.327600% done, reward: 160.298507
10.543400% done, reward: 160.308458
10.676300% done, reward: 160.009804
10.841200% done, reward: 162.328502
10.940200% done, reward: 161.723810
11.390200% done, reward: 161.893878
11.626500% done, reward: 161.985714
11.847100% done, reward: 161.930159
12.297100% done, reward: 168.381847
12.747100% done, reward: 168.478873
12.841200% done, reward: 167.250000
12.935400% done, reward: 166.054795
13.151100% done, reward: 166.007472
13.310100% done, reward: 167.277641
13.444000% done, reward: 167.180606
13.591600% done, reward: 167.875598
13.685800% done, reward: 166.994097
13.849600% done, reward: 168.442890
14.299600% done, reward: 168.534188
14.442600% done, reward: 169.691983
14.536700% done, reward: 169.070833
14.685100% done, reward: 169.699588
14.779200% done, reward: 168.605691
14.873300% done, reward: 167.779116
14.955900% done, reward: 166.734127
15.405900% done, reward: 166.787546
15.855900% done, reward: 166.867347
16.305900% done, reward: 166.920635
16.400000% done, reward: 166.368627
16.522600% done, reward: 166.527132
16.686400% done, reward: 169.440613
17.136400% done, reward: 169.471264
17.315300% done, reward: 172.318182
17.765300% done, reward: 172.344920
18.215300% done, reward: 172.368687
18.665300% done, reward: 172.389952
18.798200% done, reward: 172.026020
19.013100% done, reward: 171.977528
19.107300% done, reward: 171.400000
19.557300% done, reward: 171.430688
19.651400% done, reward: 170.645735
19.745500% done, reward: 169.877847
20.195500% done, reward: 169.905138
20.289600% done, reward: 169.153470
20.739600% done, reward: 169.178121
20.876500% done, reward: 169.293247
20.970600% done, reward: 168.563844
21.103600% done, reward: 169.099638
21.251200% done, reward: 169.830569
21.345300% done, reward: 168.913931
21.429400% done, reward: 168.419851
21.523500% done, reward: 167.535652
21.973500% done, reward: 167.548333
22.128300% done, reward: 168.067657
22.200700% done, reward: 167.204248
22.650700% done, reward: 167.231373
22.809600% done, reward: 169.102913
22.903700% done, reward: 168.438462
23.118700% done, reward: 168.403846
23.568700% done, reward: 168.414530
23.667700% done, reward: 167.762963
23.761900% done, reward: 167.123690
24.211900% done, reward: 167.140162
24.661900% done, reward: 167.155498
24.756100% done, reward: 166.527876
25.206100% done, reward: 166.542056
25.329200% done, reward: 166.296296
25.779200% done, reward: 166.303465
25.926800% done, reward: 166.612607
26.011000% done, reward: 166.007038
26.154200% done, reward: 165.952921
26.604200% done, reward: 165.959459
27.054200% done, reward: 165.971062
27.504200% done, reward: 165.976683
27.598300% done, reward: 165.387605
27.692500% done, reward: 164.808954
27.786600% done, reward: 164.240454
28.236600% done, reward: 164.250627
28.450700% done, reward: 164.221248
28.588700% done, reward: 164.358454
29.038700% done, reward: 164.363807
29.171100% done, reward: 164.843430
29.621100% done, reward: 164.848457
30.071100% done, reward: 164.853227
30.521100% done, reward: 164.857759
30.615300% done, reward: 164.132479
30.709400% done, reward: 163.588983
30.803500% done, reward: 163.054622
30.968300% done, reward: 164.195833
31.204200% done, reward: 164.200000
31.355000% done, reward: 165.157025
31.805000% done, reward: 165.157025
31.889100% done, reward: 164.459016
32.339100% done, reward: 164.466641
32.490700% done, reward: 165.405937
32.672800% done, reward: 167.620405
33.122800% done, reward: 167.627566
33.572800% done, reward: 167.634409
33.794200% done, reward: 167.630435
33.888500% done, reward: 166.929391
34.032500% done, reward: 167.668047
34.482500% done, reward: 167.667680
34.932500% done, reward: 167.670635
35.382500% done, reward: 167.679948
35.832500% done, reward: 167.685714
36.011300% done, reward: 170.302362
36.105500% done, reward: 169.596875
36.254700% done, reward: 170.142636
36.704700% done, reward: 170.148047
37.154700% done, reward: 170.153250
37.248800% done, reward: 169.613609
37.460500% done, reward: 169.592453
37.554700% done, reward: 169.061213
38.004700% done, reward: 169.063613
38.454700% done, reward: 169.068702
38.548900% done, reward: 168.696970
38.633000% done, reward: 168.180451
38.727100% done, reward: 167.820896
38.821200% done, reward: 167.170370
38.915300% done, reward: 166.823529
39.365300% done, reward: 166.828256
39.815300% done, reward: 166.832817
39.980100% done, reward: 167.804841
40.430100% done, reward: 167.809212
40.880100% done, reward: 167.813436
40.974200% done, reward: 167.466961
41.121900% done, reward: 168.132667
41.571900% done, reward: 168.134293
41.656000% done, reward: 167.790476
41.871700% done, reward: 167.780328
42.087500% done, reward: 167.770507
42.186500% done, reward: 167.573553
