l,t
1000,3.0731046199798584
2000,5.8791139125823975
3000,8.817612409591675
4000,11.77849268913269
5000,14.77258849143982
6000,17.750972986221313
7000,20.716027975082397
8000,23.681796073913574
9000,26.656027793884277
10000,29.709598302841187
11000,32.649906158447266
12000,35.74010181427002
13000,38.57788801193237
14000,41.67322826385498
15000,44.71204328536987
16000,47.777491092681885
17000,50.816869258880615
18000,53.76908874511719
19000,56.63118314743042
20000,59.64731407165527
21000,62.80839538574219
22000,66.11745572090149
23000,69.29201483726501
24000,72.35918426513672
25000,75.56736063957214
26000,78.79256772994995
27000,81.83717584609985
28000,85.03460216522217
29000,88.09292435646057
30000,90.94676995277405
31000,93.70432686805725
32000,96.61051177978516
33000,99.55357766151428
34000,102.57566809654236
35000,105.52218246459961
36000,108.6116509437561
37000,111.7584855556488
38000,114.84425354003906
39000,117.96059799194336
40000,121.05854988098145
41000,124.22908306121826
42000,127.23629593849182
43000,130.3091905117035
44000,133.22563242912292
45000,136.30825972557068
46000,139.38044047355652
47000,142.47891497612
48000,145.64879512786865
49000,148.72012090682983
50000,151.84903812408447
51000,154.97674036026
52000,157.95551896095276
53000,160.928546667099
54000,163.90554690361023
55000,166.9953474998474
56000,170.12988185882568
57000,173.14434432983398
58000,176.32742142677307
59000,179.42124438285828
60000,182.47571992874146
61000,185.68020224571228
62000,188.94077682495117
63000,192.0460169315338
64000,195.23950171470642
65000,198.30082845687866
66000,201.4141354560852
67000,204.46974229812622
68000,207.51100182533264
69000,210.5758833885193
70000,213.62530708312988
71000,216.646142244339
72000,219.64940357208252
73000,222.75595664978027
74000,226.04949307441711
75000,229.2818944454193
76000,232.31916570663452
77000,235.6102328300476
78000,238.64720344543457
79000,241.64742517471313
80000,244.7405664920807
81000,247.71481156349182
82000,250.69642734527588
83000,253.6383979320526
84000,256.4696412086487
85000,259.4005708694458
86000,262.39594650268555
87000,265.52661538124084
88000,268.65973114967346
89000,271.64652132987976
90000,274.4229414463043
91000,277.3288428783417
92000,280.3477578163147
93000,283.3328015804291
94000,286.3324272632599
95000,289.37151074409485
96000,292.0058157444
97000,294.76174306869507
98000,297.8611879348755
99000,300.9229941368103
100000,303.92730259895325
101000,306.6903302669525
102000,309.6625292301178
103000,312.4466743469238
104000,315.4168493747711
105000,318.3023593425751
106000,321.3744707107544
107000,324.3456406593323
108000,327.5282211303711
109000,330.6331961154938
110000,333.80334067344666
111000,336.78833174705505
112000,339.93724489212036
113000,342.9543869495392
114000,345.9767243862152
115000,349.2484254837036
116000,352.3405165672302
117000,355.31033658981323
118000,358.24929904937744
119000,361.22061252593994
120000,364.0765292644501
121000,367.12562227249146
122000,370.31326508522034
123000,373.85998916625977
124000,377.46130990982056
125000,380.5565514564514
126000,383.6434483528137
127000,386.6039593219757
128000,389.6958222389221
129000,392.7747507095337
130000,395.923059463501
131000,399.001238822937
132000,402.22200202941895
133000,405.4311444759369
134000,408.4359357357025
135000,411.6207084655762
136000,414.8711369037628
137000,418.1084976196289
138000,421.1885633468628
139000,424.275075674057
140000,427.31794714927673
141000,430.2276532649994
142000,432.88833713531494
143000,435.83039832115173
144000,438.7867751121521
145000,441.77626156806946
146000,444.8197214603424
147000,447.8176462650299
148000,450.82290601730347
149000,453.8184540271759
150000,456.82209277153015
151000,459.6498534679413
152000,462.3804361820221
153000,465.23899126052856
154000,468.1101996898651
155000,471.1190114021301
156000,474.0600595474243
157000,476.9814512729645
158000,480.11515378952026
159000,483.37841176986694
160000,486.6306083202362
161000,489.79074263572693
162000,492.8683695793152
163000,495.70288372039795
164000,498.9221029281616
165000,501.9426531791687
166000,504.9733684062958
167000,508.05290174484253
168000,511.0514702796936
169000,514.0938091278076
170000,517.1419532299042
171000,520.0103940963745
172000,522.9931652545929
173000,525.9601945877075
174000,528.9472064971924
175000,531.9293229579926
176000,535.0019466876984
177000,537.9816074371338
178000,540.9804375171661
179000,544.0122103691101
180000,546.9358191490173
181000,549.5828282833099
182000,552.1939783096313
183000,554.9931602478027
184000,557.9987967014313
185000,560.7763502597809
186000,563.6071329116821
187000,566.5072619915009
188000,569.51522564888
189000,574.131817817688
190000,577.5321464538574
191000,580.8270149230957
192000,583.8554208278656
193000,586.8228423595428
194000,589.8044221401215
195000,592.7016260623932
196000,596.2419476509094
197000,599.9900648593903
198000,603.2321135997772
199000,606.51322722435
200000,609.8169949054718
201000,612.9666562080383
202000,615.9729330539703
203000,619.2269706726074
204000,622.3180997371674
205000,625.4746530056
206000,628.4984562397003
207000,631.4802231788635
208000,634.512374162674
209000,637.5615720748901
210000,640.6279351711273
211000,643.7658550739288
212000,646.8694427013397
213000,650.1370415687561
214000,653.319343328476
215000,656.3879811763763
216000,659.4586141109467
217000,662.470365524292
218000,665.4168105125427
219000,668.5047934055328
220000,671.5330283641815
221000,674.532942533493
222000,677.582989692688
223000,680.6709136962891
224000,683.7624604701996
225000,686.8157889842987
226000,689.4952418804169
227000,692.4695394039154
228000,695.5470328330994
229000,698.7048711776733
230000,701.8644618988037
231000,704.9201035499573
232000,708.2983283996582
233000,711.4563760757446
234000,714.5670289993286
235000,717.6381728649139
236000,720.8998243808746
237000,724.1064991950989
238000,727.1861789226532
239000,730.7143747806549
240000,733.5670306682587
241000,736.1668672561646
242000,738.7683770656586
243000,741.4550731182098
244000,744.1156160831451
245000,746.9288704395294
246000,749.7861320972443
247000,752.7164485454559
248000,755.6879229545593
249000,758.6304295063019
250000,761.6488258838654
251000,764.4817521572113
252000,767.3254008293152
253000,770.2760651111603
254000,773.2340271472931
255000,776.2874321937561
256000,780.9357688426971
257000,786.2214775085449
258000,792.0267016887665
259000,798.3266744613647
260000,801.6981213092804
261000,804.7435500621796
262000,809.8863863945007
263000,813.2101123332977
264000,816.340253829956
265000,819.7022604942322
266000,825.5414707660675
267000,832.1871569156647
268000,839.166140794754
269000,846.3860144615173
270000,854.12269115448
271000,861.9313406944275
272000,869.767674446106
273000,878.2053198814392
274000,890.0497043132782
275000,903.8629019260406
276000,917.8354866504669
277000,931.5379283428192
278000,942.7670657634735
279000,951.384505033493
280000,958.9893653392792
281000,966.1483895778656
282000,973.9443900585175
283000,983.2037465572357
284000,992.2915918827057
285000,1002.1159160137177
286000,1012.814870595932
287000,1022.004102230072
288000,1029.8659727573395
289000,1037.0515687465668
290000,1044.6974642276764
291000,1052.6965653896332
292000,1061.6303474903107
293000,1070.0782070159912
294000,1079.275824546814
295000,1088.7943913936615
296000,1097.5580115318298
297000,1105.717292547226
298000,1113.1463913917542
299000,1120.0480825901031
300000,1127.3498656749725
301000,1134.9309663772583
302000,1143.8203661441803
303000,1152.9839239120483
304000,1162.142958164215
305000,1171.4418334960938
306000,1180.0081522464752
307000,1187.4067459106445
308000,1194.5971477031708
309000,1202.4341897964478
310000,1211.5451328754425
311000,1220.1871979236603
312000,1229.8034343719482
313000,1240.12291097641
314000,1250.26624751091
315000,1258.4623947143555
316000,1265.7834358215332
317000,1273.1020786762238
318000,1280.4717338085175
319000,1289.038100719452
320000,1298.5901868343353
321000,1308.608101606369
322000,1318.3274755477905
323000,1327.8486649990082
324000,1336.2270543575287
325000,1343.8882701396942
326000,1351.1891539096832
327000,1358.9738373756409
328000,1367.3538856506348
329000,1376.083143234253
330000,1384.6691482067108
