r,l,t
100.0,942,2.8874294757843018
120.0,1095,5.98998761177063
160.0,1243,9.635725498199463
100.0,941,12.444912433624268
140.0,941,15.249728918075562
320.0,1578,19.9274320602417
120.0,941,22.721342086791992
100.0,941,25.517308712005615
340.0,1648,30.505587577819824
100.0,941,33.247411012649536
80.0,842,35.88630294799805
80.0,941,38.52790117263794
300.0,1440,43.00682544708252
240.0,1548,47.69551372528076
80.0,941,50.557969093322754
240.0,1476,54.940176486968994
80.0,941,57.61954212188721
140.0,941,60.51885437965393
220.0,1476,65.28536248207092
300.0,1578,70.31199717521667
220.0,1528,75.09533190727234
140.0,1329,79.3633918762207
300.0,1577,84.26028847694397
80.0,708,86.46496319770813
80.0,942,89.25173377990723
200.0,1476,93.36603355407715
300.0,1577,97.96519470214844
160.0,990,100.91432571411133
300.0,1577,105.6374135017395
400.0,1596,110.61391496658325
100.0,842,113.19501233100891
340.0,1595,118.1888747215271
120.0,942,121.10325407981873
220.0,1376,125.40491437911987
100.0,941,128.2825665473938
120.0,941,131.0575680732727
300.0,1648,136.03667283058167
140.0,1329,140.13297057151794
280.0,1548,144.98413825035095
100.0,942,147.8910617828369
120.0,941,150.8236494064331
120.0,990,153.92372393608093
100.0,842,156.5052170753479
140.0,1482,160.88215684890747
80.0,941,163.68972969055176
220.0,1547,168.48911046981812
360.0,1595,173.37690711021423
240.0,1580,178.3435080051422
260.0,1457,182.8120653629303
100.0,942,185.85326266288757
80.0,841,188.57951378822327
360.0,1595,193.58766865730286
120.0,990,196.71088457107544
120.0,941,199.58781814575195
120.0,990,202.64947819709778
340.0,1595,207.53702998161316
140.0,990,210.54230976104736
220.0,1648,215.55125737190247
140.0,941,218.38304042816162
140.0,942,221.2453634738922
100.0,941,224.32475209236145
140.0,841,226.99449348449707
100.0,941,230.02751564979553
120.0,941,232.97219800949097
80.0,841,235.72040271759033
380.0,1683,240.78680515289307
100.0,942,243.6070683002472
80.0,942,246.50841736793518
140.0,941,249.31861567497253
600.0,2117,255.47356462478638
660.0,2158,261.763432264328
80.0,823,264.4046070575714
140.0,941,267.31649827957153
600.0,2117,273.58649921417236
220.0,1408,277.64706325531006
80.0,853,280.19721698760986
120.0,841,282.7188045978546
760.0,4500,295.6438617706299
760.0,4500,309.0625960826874
200.0,1476,313.24879026412964
680.0,2158,319.6348659992218
140.0,1329,323.5988869667053
320.0,1649,328.7662069797516
120.0,990,331.9352328777313
760.0,4500,345.64921140670776
740.0,2363,353.10917806625366
660.0,2206,359.59779715538025
620.0,4500,373.66559171676636
760.0,4500,388.0490629673004
80.0,941,391.01371717453003
80.0,942,393.817556142807
660.0,2157,400.62187004089355
260.0,1590,405.7287263870239
160.0,1339,409.84646582603455
220.0,1476,414.5705392360687
100.0,942,417.6397342681885
280.0,1638,422.71146416664124
780.0,4500,435.78463196754456
260.0,1430,440.0375487804413
120.0,941,442.8822214603424
220.0,1484,447.3456304073334
80.0,941,450.17585706710815
100.0,941,453.0027198791504
80.0,826,455.4851062297821
760.0,4500,468.28545904159546
800.0,4500,481.9168698787689
780.0,4500,495.89149141311646
