r,l,t
648.8195562958717,69,0.33661794662475586
645.9738563895226,69,0.6819465160369873
3639.6500715613365,440,2.4019665718078613
9498.111104428768,2259,10.67725682258606
9801.88883793354,892,13.800275087356567
1029.1947643756866,92,14.163359880447388
5067.24282681942,1076,18.39522409439087
1032.0404654741287,90,18.805947303771973
3635.8558025956154,313,20.261760234832764
5007.483124375343,4500,36.87552857398987
9668.333293616772,1493,42.216731786727905
5071.037080228329,1295,47.045801401138306
3633.010114967823,1648,53.058995962142944
5070.088519990444,4500,68.37207746505737
3635.8558009266853,374,69.7826600074768
9846.166632711887,693,72.36822414398193
8793.212441802025,4500,88.62000155448914
5120.362549960613,4500,104.29014945030212
5067.242820322514,480,106.1088559627533
4992.306060552597,4500,121.79668378829956
3635.8558080792427,375,123.19578957557678
643.1281599998474,69,123.51963782310486
5106.134045600891,4500,139.49152660369873
5068.191386401653,645,141.865877866745
9846.388824880123,692,144.51573538780212
5071.03708422184,4500,161.39167523384094
8754.321214795113,4500,177.11725401878357
5060.602847337723,4500,192.7465717792511
3642.4957699775696,393,194.19786429405212
3644.392905294895,929,197.5947937965393
1031.0919006466866,124,198.11693668365479
5066.29425239563,4500,213.99794912338257
1029.1947625279427,85,214.35737109184265
1030.1433363556862,88,214.73173451423645
5063.448549211025,4500,230.43265080451965
5070.088518321514,551,232.46710753440857
9846.222218811512,692,235.03378534317017
649.7681248188019,73,235.34368228912354
5067.24282002449,480,237.13975620269775
5070.088520407677,481,238.86887550354004
5070.088520169258,480,240.63665556907654
8701.20148897171,4500,256.18405961990356
8018.233533203602,4500,271.6639049053192
5071.037085533142,474,273.37535667419434
5071.037086367607,480,275.1897249221802
9874.888850212097,563,277.3535280227661
9874.88884973526,563,279.57355880737305
5055.8600153923035,4500,295.0663511753082
5146.9224190711975,4500,310.0928783416748
5064.3971182107925,4500,325.3735463619232
3635.8558070659637,433,326.8723974227905
3638.7015060782433,350,328.0927550792694
9749.888848781586,1126,331.8056552410126
9746.222207069397,1142,335.6479182243347
4258.115495443344,397,337.048654794693
5152.613801896572,4500,352.24023699760437
9748.77770113945,1131,356.17155623435974
9795.499973595142,921,359.43436455726624
3636.8043679594994,421,360.9254734516144
4814.924091994762,4500,375.6399688720703
9795.55551636219,920,378.9270911216736
9748.999952673912,1130,382.82335686683655
9795.333334505558,921,386.0033633708954
9782.777749419212,978,389.3656368255615
5161.150910139084,4500,404.11280632019043
9742.055499196053,1161,408.0296947956085
9775.61106467247,1010,411.57008385658264
3633.010105073452,1099,415.4621388912201
647.8709926605225,72,415.78044605255127
9795.444406688213,921,419.14449167251587
9743.555517792702,1154,423.5101170539856
9748.833268523216,1131,427.62111949920654
9795.555511832237,920,430.85011744499207
9795.499968886375,921,434.0899968147278
3642.495768070221,409,435.5460078716278
9795.499967992306,921,438.80751156806946
9746.555498838425,1141,442.7495379447937
5019.814486324787,4500,457.8381369113922
9795.388868749142,921,461.0018525123596
9756.11108070612,1098,464.82438111305237
5067.242825210094,493,466.6940062046051
5018.865920722485,4500,481.43638253211975
9781.444390654564,984,484.86550068855286
3633.958668410778,421,486.40616035461426
9746.388820528984,1142,490.37382984161377
3632.06154024601,301,491.4827756881714
5016.968786537647,4500,507.1988248825073
3646.2900344133377,410,508.69701313972473
9795.388852000237,921,512.0040230751038
9748.833262979984,1131,516.4188303947449
3636.8043681383133,421,517.9480535984039
3633.9586686491966,421,519.5490822792053
3638.701506614685,341,520.9352421760559
9782.722198188305,978,524.6314041614532
3639.6500685214996,409,526.1809504032135
4819.666928946972,4500,541.310540676117
9743.66664326191,1154,545.4532837867737
9795.444428265095,921,548.680422782898
3642.495766878128,449,550.2816469669342
3661.4671040177345,531,552.194109916687
8981.02862995863,4500,566.2242894172668
9795.333304524422,921,569.3660855293274
5126.053944945335,4500,583.5695345401764
5016.020221590996,4500,598.949470281601
9795.222181677818,922,602.0974957942963
5153.562376022339,4500,617.6714391708374
9795.499952673912,921,621.0074813365936
9708.77772128582,1311,625.6035656929016
3630.164401292801,397,627.1712877750397
3639.650065243244,449,628.7797772884369
1029.1947645545006,88,629.1447944641113
3646.290032148361,449,630.8594799041748
5150.716678619385,4500,646.1485950946808
9781.72217553854,983,649.3354091644287
9795.166638791561,922,652.5390701293945
1029.194764137268,91,652.9262728691101
3638.70150911808,398,654.4055058956146
3636.804369032383,421,655.9386873245239
9795.555538892746,920,659.4612493515015
9744.777725577354,1149,663.6000514030457
645.9738566875458,71,663.8952603340149
7388.385300576687,4500,679.1878499984741
5147.870968580246,4500,694.7258932590485
3636.804368197918,421,696.243950843811
9795.27776002884,922,699.6549732685089
9795.333304047585,921,702.9917376041412
5018.86591899395,4500,718.0604870319366
9781.44440126419,984,721.4512732028961
9781.722173273563,983,724.8050220012665
3637.752934753895,421,726.3100199699402
3642.4957973361015,2619,735.5509271621704
9795.388849318027,921,738.9604725837708
3636.8043680787086,421,740.4005942344666
5152.6138107180595,4500,755.234735250473
9795.555528640747,920,758.4818041324615
9795.222173452377,922,761.8751180171967
3646.290033340454,450,763.5728640556335
643.1281599998474,69,763.8921954631805
5161.150909602642,4500,779.9152994155884
5144.0767068862915,4500,796.1839375495911
9795.499985456467,921,799.5206377506256
3646.2900344133377,410,801.0951647758484
9794.888838768005,923,804.596067905426
4244.835564792156,882,807.7340083122253
9756.611068487167,1096,811.7187974452972
9831.777718245983,757,814.4391362667084
5050.168620347977,4500,830.0542855262756
9824.111093640327,792,832.8227894306183
5050.168625116348,4500,848.7489032745361
9824.055531442165,792,851.6529216766357
9848.388852596283,683,854.1929535865784
9755.944414377213,1099,858.2275769710541
9787.888858497143,955,861.7215857505798
9753.888860285282,1108,865.8232259750366
4807.335568010807,4500,881.6051847934723
5056.8085877895355,4500,897.2970979213715
5016.9687910676,4500,913.0823152065277
8672.744504392147,4500,928.6745324134827
9789.111082971096,949,932.1412627696991
5003.688859283924,4500,948.417314529419
3635.855810582638,638,950.7791483402252
5135.539621829987,4500,965.7408263683319
9756.49995791912,1096,969.6490740776062
5016.020223379135,4500,984.6083087921143
9753.444425046444,1110,988.4737448692322
5098.545517325401,4500,1004.3343710899353
9853.166627943516,661,1006.9091579914093
9784.722243010998,969,1010.5865597724915
3649.135736465454,296,1011.7653074264526
649.7681221365929,71,1012.1142518520355
7054.489876568317,4500,1027.8456451892853
9850.277763605118,674,1030.2753596305847
3633.0101078152657,421,1031.8377783298492
9824.055534899235,792,1034.9421091079712
5135.539619028568,4500,1052.0008327960968
9823.666653454304,794,1055.2279114723206
9850.33332246542,674,1057.8661828041077
5001.791730225086,4500,1073.1582317352295
1032.040465593338,91,1073.529584646225
5018.865932703018,4500,1089.3926815986633
647.8709900975227,66,1089.7014346122742
5073.882786691189,4500,1105.5356769561768
4242.938446521759,830,1108.5687115192413
5017.917360842228,4500,1124.369866847992
9763.333308815956,1065,1128.6245348453522
9853.333317518234,660,1131.1273329257965
4241.9898691773415,831,1134.1896283626556
5007.483128845692,4500,1149.989275932312
4802.59273982048,4500,1165.5687398910522
4743.781605899334,4500,1180.717901468277
9869.277718007565,589,1182.8825573921204
3642.4957735538483,315,1184.0798802375793
5194.350737512112,4500,1198.8361377716064
9869.33333158493,588,1201.0561816692352
5192.453617036343,4500,1216.4895234107971
646.9224257469177,73,1216.8208348751068
9830.833339691162,762,1219.8153023719788
646.9224231243134,67,1220.142599105835
5093.802682697773,4500,1235.932161808014
7726.075013041496,557,1238.0196824073792
1032.9890316724777,92,1238.4478573799133
9833.055548250675,752,1241.2509450912476
9869.777719795704,586,1243.5677189826965
9869.333277761936,588,1245.8257887363434
9869.333297133446,588,1248.0528688430786
9864.555539131165,610,1250.3606712818146
5194.350736379623,4500,1265.7623136043549
5194.350736141205,4500,1280.789800643921
9869.499990999699,588,1283.144335269928
3642.495768427849,302,1284.4192206859589
9874.222205996513,566,1286.6320023536682
5194.350737273693,4500,1301.6450221538544
9844.777705907822,699,1304.2367861270905
650.7166894078255,71,1304.5799279212952
5168.739445924759,4500,1319.7148807048798
9864.555533409119,610,1321.9996175765991
5193.402186453342,4500,1337.8417360782623
9867.333311676979,597,1340.3117623329163
9869.33330142498,588,1342.6443474292755
3639.6500804424286,434,1344.3741075992584
5194.350748062134,4500,1360.4012870788574
9738.222166717052,1178,1365.037174463272
650.7166888713837,72,1365.3887498378754
9762.166657328606,1071,1369.3142912387848
5123.208247721195,4500,1384.8627889156342
3633.0101049542427,389,1386.2838656902313
9869.33328050375,588,1388.5330543518066
9869.388865828514,588,1390.9180459976196
5104.236920297146,4500,1407.3193531036377
5191.505049228668,4500,1422.687194108963
5026.454454898834,4500,1438.7709770202637
3642.4957706332207,373,1440.1388320922852
7719.435052096844,557,1442.1942446231842
3740.1981351971626,367,1443.594970703125
3638.7015076875687,381,1445.0783360004425
9869.833324849606,586,1447.2428228855133
9874.333278417587,566,1449.3210203647614
647.8709900975227,66,1449.6056299209595
9869.444385528564,588,1451.7294886112213
3639.650070667267,433,1453.33096909523
9786.444426894188,961,1456.717205286026
9807.722180187702,866,1459.7314195632935
4977.128995895386,4500,1474.459244966507
5063.448556542397,4500,1490.1144292354584
7729.8692791461945,557,1492.2738134860992
5094.751251339912,4500,1507.7263453006744
5194.350748181343,4500,1523.143697977066
3710.7925622463226,359,1524.5680072307587
5192.453613221645,4500,1539.8091583251953
3639.6500677466393,382,1541.1991946697235
5071.037085354328,4500,1556.2316508293152
2484.2959474921227,259,1557.1964910030365
9869.83332759142,586,1559.3918013572693
9869.444401085377,588,1561.6069746017456
9864.055495202541,612,1563.888926744461
3638.7015011310577,320,1565.1248488426208
5094.751254439354,4500,1580.379277229309
5169.688015460968,4500,1595.4901683330536
9841.722191393375,713,1598.0164353847504
5006.534554362297,4500,1613.4316635131836
5094.751253902912,4500,1629.060373544693
9869.277715623379,589,1631.2403378486633
5194.350754082203,4500,1645.6325709819794
9792.111098885536,936,1649.0654027462006
4993.254608392715,4500,1664.3498277664185
5111.82545119524,4500,1679.6663045883179
7259.380245387554,4500,1694.820869922638
9833.888868689537,748,1697.5719196796417
3749.683800160885,440,1699.04505610466
9794.944418787956,923,1702.266327381134
4978.077567696571,4500,1717.963350057602
5053.962889015675,4500,1733.6279048919678
4147.133209526539,644,1736.349812746048
5018.865920007229,4500,1752.408286333084
1032.0404671430588,92,1752.788563489914
5070.088508963585,4500,1767.8643746376038
5070.088526725769,4500,1783.601262807846
9754.777766823769,1104,1787.5838170051575
5005.586002290249,4500,1803.387217760086
4147.133212327957,848,1806.6979551315308
9748.9999704957,1130,1811.0127189159393
9748.777746379375,1131,1815.137068271637
3631.1129702329636,421,1816.7666673660278
5143.128142774105,4500,1832.146738767624
8109.29592525959,4500,1846.8929724693298
5123.208257973194,4500,1861.9329936504364
9795.444442331791,921,1865.0416898727417
3646.2900344133377,409,1866.6100816726685
9869.333325982094,588,1868.8640360832214
9807.277753293514,868,1872.043231010437
3638.701501905918,549,1873.918039560318
9864.666630148888,609,1876.1387956142426
3646.290039360523,479,1877.872654914856
4269.498308241367,412,1879.478388786316
5194.350750684738,4500,1894.6649079322815
645.9738557338715,72,1894.9720482826233
5051.117187738419,4500,1910.419016122818
5026.4544560313225,4500,1925.410413980484
9748.722179889679,1131,1929.7422363758087
9795.499954879284,921,1933.1709969043732
3635.8558017015457,368,1934.9903695583344
9795.55551123619,920,1939.1112232208252
5151.665242254734,4500,1954.7269999980927
3639.6500673294067,449,1956.410145998001
3641.5472059845924,380,1957.9141941070557
9796.055487632751,918,1961.3039796352386
5018.865918755531,4500,1977.9640562534332
9793.722205638885,929,1981.3558411598206
9789.944376051426,946,1984.9124162197113
9793.72220981121,929,1988.3051974773407
4258.115506052971,673,1990.8851969242096
9815.333290696144,831,1994.059074163437
1028.2461979985237,89,1994.4526278972626
9798.33333337307,908,1997.7737309932709
9817.388852000237,822,2000.7882986068726
9793.722209513187,929,2004.2162582874298
9833.555527091026,749,2006.9684689044952
8734.401328623295,4500,2021.750010728836
5083.368448317051,4500,2036.4032611846924
9815.166601419449,832,2039.3979578018188
9793.666627585888,929,2042.7315530776978
9793.83326858282,928,2046.021461725235
4241.989872932434,648,2048.414837360382
3629.2158398628235,315,2049.605710506439
4240.09273403883,637,2051.975935459137
3639.6500710844994,354,2053.340738296509
9806.000009298325,873,2056.539036989212
5074.8313474059105,4500,2071.986848115921
3646.2900406122208,341,2073.356117963791
8224.072473943233,4500,2089.2193977832794
9817.333287775517,822,2092.2393069267273
9817.388844072819,822,2095.3133702278137
4252.424112141132,672,2097.858141183853
8224.072479248047,4500,2114.2003304958344
3642.495768904686,397,2116.0522685050964
9818.833335757256,816,2119.450058698654
9793.611085534096,929,2123.230504989624
9818.83333849907,816,2126.525321483612
9827.722156345844,776,2129.488701581955
645.0252931714058,69,2129.8607296943665
9817.388825178146,822,2132.9576165676117
9804.444381475449,880,2136.2651574611664
9817.444366455078,822,2139.220318555832
5102.339784145355,4500,2154.691214799881
8404.300141572952,4500,2170.237025976181
9809.33333092928,858,2173.4055123329163
4240.092737674713,647,2175.7970354557037
9793.61104041338,929,2179.6853036880493
5194.350752174854,4500,2195.396806001663
