0.006900% done, reward: 645.973860
0.048700% done, reward: 2181.228913
0.088600% done, reward: 2695.510108
0.123500% done, reward: 2937.947926
0.197200% done, reward: 4317.613886
0.276100% done, reward: 5235.483789
0.283000% done, reward: 4579.432985
0.315700% done, reward: 4471.682928
0.361100% done, reward: 4379.024040
0.392700% done, reward: 4314.762022
0.402500% done, reward: 4015.987857
0.487400% done, reward: 4498.933312
0.525200% done, reward: 4438.526001
0.563800% done, reward: 4387.222589
0.572500% done, reward: 4163.354067
0.648100% done, reward: 4517.647910
0.685600% done, reward: 4500.986347
0.722300% done, reward: 4457.613674
0.792900% done, reward: 4741.066755
1.188500% done, reward: 4960.066193
1.224900% done, reward: 4900.893162
1.259000% done, reward: 4847.228847
1.303200% done, reward: 4706.044546
1.347000% done, reward: 4565.125866
1.797000% done, reward: 4341.670059
1.876500% done, reward: 4341.637230
2.326500% done, reward: 4192.787062
2.390800% done, reward: 4193.829991
2.400300% done, reward: 4060.448387
2.440600% done, reward: 3935.849432
2.450100% done, reward: 3869.169409
2.563000% done, reward: 3817.063326
2.606900% done, reward: 3770.090433
2.710800% done, reward: 3718.711206
2.751100% done, reward: 3677.135104
2.795000% done, reward: 3653.691774
3.245000% done, reward: 3590.159573
3.356300% done, reward: 3638.881998
3.390000% done, reward: 3642.585934
3.422600% done, reward: 3642.858842
3.472100% done, reward: 3630.633766
3.571400% done, reward: 3655.187576
3.727000% done, reward: 3671.980971
3.784300% done, reward: 3660.700033
3.879900% done, reward: 3673.766351
3.970500% done, reward: 3684.265471
4.010900% done, reward: 3669.536831
4.088000% done, reward: 3678.743303
4.145300% done, reward: 3671.271887
4.244200% done, reward: 3678.895036
4.284800% done, reward: 3680.398593
4.317200% done, reward: 3670.373339
4.487600% done, reward: 3676.548612
4.519900% done, reward: 3667.913645
4.630500% done, reward: 3673.834736
4.715200% done, reward: 3679.253840
4.758000% done, reward: 3672.993022
4.869800% done, reward: 3677.821182
4.945500% done, reward: 3682.356479
4.988200% done, reward: 3676.610774
5.028500% done, reward: 3670.491749
5.068800% done, reward: 3664.878941
5.113200% done, reward: 3660.618727
5.151300% done, reward: 3655.767675
5.307100% done, reward: 3659.864463
5.339500% done, reward: 3655.377901
5.508600% done, reward: 3659.175006
5.548900% done, reward: 3655.000140
5.998900% done, reward: 3646.893540
6.039200% done, reward: 3643.347311
6.071500% done, reward: 3640.010800
6.111900% done, reward: 3636.868199
6.192300% done, reward: 3640.765748
6.288900% done, reward: 3644.413699
6.391400% done, reward: 3647.855735
6.493800% done, reward: 3651.121426
6.534100% done, reward: 3648.097679
6.634300% done, reward: 3651.202992
6.734700% done, reward: 3654.160009
6.792000% done, reward: 3652.598373
6.951200% done, reward: 3655.270479
7.191300% done, reward: 3657.664023
7.292000% done, reward: 3660.222920
7.332400% done, reward: 3657.446989
7.372700% done, reward: 3654.795417
7.413000% done, reward: 3652.243555
7.445400% done, reward: 3649.793767
7.488200% done, reward: 3647.919169
7.787100% done, reward: 3650.031449
7.827400% done, reward: 3647.769941
7.906900% done, reward: 3650.167781
7.939200% done, reward: 3647.986031
8.029900% done, reward: 3650.276636
8.070300% done, reward: 3648.169529
8.164900% done, reward: 3650.372084
8.265600% done, reward: 3652.490749
8.302700% done, reward: 3650.449566
8.402000% done, reward: 3652.499572
8.459400% done, reward: 3651.445731
8.499700% done, reward: 3649.516528
8.547600% done, reward: 3647.647019
8.604900% done, reward: 3646.713553
8.715400% done, reward: 3648.649677
8.755700% done, reward: 3646.876816
8.911500% done, reward: 3648.694411
8.951800% done, reward: 3646.970640
9.123600% done, reward: 3648.714709
9.180900% done, reward: 3647.845624
9.213200% done, reward: 3646.205465
9.270600% done, reward: 3645.394563
9.482700% done, reward: 3871.678531
9.517600% done, reward: 3758.572010
9.552600% done, reward: 3720.772547
9.593000% done, reward: 3719.269943
9.663300% done, reward: 3720.990958
9.818900% done, reward: 3722.570755
9.911200% done, reward: 3724.179809
9.968500% done, reward: 3723.416391
10.008900% done, reward: 3721.977269
10.119500% done, reward: 3723.513904
10.554400% done, reward: 3721.946964
10.644900% done, reward: 3723.467441
10.740800% done, reward: 3724.945667
10.839700% done, reward: 3726.385695
10.924400% done, reward: 3727.806094
10.956700% done, reward: 3726.436037
11.009900% done, reward: 3725.690434
11.047000% done, reward: 3724.375556
11.149500% done, reward: 3725.737585
11.372700% done, reward: 3726.954697
11.544000% done, reward: 3728.193806
11.727500% done, reward: 3729.394691
11.810700% done, reward: 3730.661928
11.898600% done, reward: 3731.897885
11.981900% done, reward: 3733.112027
12.039300% done, reward: 3732.400226
12.096600% done, reward: 3731.701597
12.139700% done, reward: 3730.456946
12.242100% done, reward: 3731.620075
12.366300% done, reward: 3732.741289
12.398600% done, reward: 3731.524397
12.443000% done, reward: 3730.558493
12.475300% done, reward: 3729.383943
12.774100% done, reward: 3730.340022
12.881900% done, reward: 3731.433405
12.922200% done, reward: 3730.285220
12.962600% done, reward: 3729.159520
13.032200% done, reward: 3730.263712
13.069300% done, reward: 3729.157525
13.171800% done, reward: 3730.216058
13.270300% done, reward: 3731.258597
13.318100% done, reward: 3730.172180
13.401400% done, reward: 3731.208153
13.496800% done, reward: 3732.216917
13.656000% done, reward: 3733.160663
13.713300% done, reward: 3732.569910
13.802700% done, reward: 3733.545552
14.006100% done, reward: 3734.422048
14.161700% done, reward: 3735.318146
14.198500% done, reward: 3734.269719
14.235700% done, reward: 3733.239224
14.334200% done, reward: 3734.162967
14.423500% done, reward: 3735.078082
14.463900% done, reward: 3734.066882
14.496300% done, reward: 3733.073029
14.539300% done, reward: 3732.093793
14.618900% done, reward: 3733.002941
14.651300% done, reward: 3732.038698
14.683600% done, reward: 3731.090253
14.723900% done, reward: 3730.156680
14.809100% done, reward: 3731.049184
14.899800% done, reward: 3731.924621
15.088300% done, reward: 3732.182351
15.128600% done, reward: 3731.269313
15.211100% done, reward: 3732.128841
15.252500% done, reward: 3731.230428
15.375100% done, reward: 3732.052690
15.407400% done, reward: 3731.167056
15.444500% done, reward: 3730.293115
15.545100% done, reward: 3731.117868
15.602400% done, reward: 3730.647122
15.685600% done, reward: 3731.468238
15.780000% done, reward: 3732.271177
15.933100% done, reward: 3733.028107
16.033300% done, reward: 3733.805779
16.131800% done, reward: 3734.573837
16.172100% done, reward: 3733.723538
16.229400% done, reward: 3733.256465
16.317300% done, reward: 3734.018783
16.473100% done, reward: 3734.732247
16.513500% done, reward: 3733.905114
16.573800% done, reward: 3734.663653
16.608500% done, reward: 3733.848973
16.711000% done, reward: 3734.574617
16.806900% done, reward: 3735.294524
16.890800% done, reward: 3736.011804
16.933800% done, reward: 3735.207202
17.024600% done, reward: 3735.912222
17.056900% done, reward: 3735.120203
17.089200% done, reward: 3734.335576
17.129500% done, reward: 3733.560695
17.334700% done, reward: 3734.198101
17.371800% done, reward: 3733.436034
17.412200% done, reward: 3732.681481
17.455200% done, reward: 3731.937843
17.563800% done, reward: 3732.619391
17.604100% done, reward: 3731.885030
17.644400% done, reward: 3731.157023
17.681500% done, reward: 3730.439143
17.775900% done, reward: 3731.120609
17.867700% done, reward: 3731.795392
17.957000% done, reward: 3732.463596
18.044500% done, reward: 3733.124976
18.156300% done, reward: 3733.766781
18.241500% done, reward: 3734.414255
18.355200% done, reward: 3735.040519
18.392300% done, reward: 3734.332320
18.494700% done, reward: 3734.957446
18.535000% done, reward: 3734.257012
18.706800% done, reward: 3734.842680
18.795000% done, reward: 3735.461354
18.885800% done, reward: 3736.072008
18.984000% done, reward: 3736.672497
19.021100% done, reward: 3735.982371
19.120000% done, reward: 3736.576564
19.224100% done, reward: 3737.161966
19.383300% done, reward: 3737.715913
19.440600% done, reward: 3737.327757
19.472900% done, reward: 3736.651842
19.628700% done, reward: 3737.201268
19.661100% done, reward: 3736.533093
19.751300% done, reward: 3737.106605
19.858700% done, reward: 3737.666557
20.028500% done, reward: 3738.193266
20.085800% done, reward: 3737.816784
20.193600% done, reward: 3738.364389
20.294700% done, reward: 3738.909341
20.397300% done, reward: 3739.448141
20.570000% done, reward: 3739.951408
20.602300% done, reward: 3739.301557
20.693100% done, reward: 3739.835382
20.852200% done, reward: 3740.334991
20.942600% done, reward: 3740.858613
21.034500% done, reward: 3741.376483
21.123600% done, reward: 3741.890448
21.173100% done, reward: 3741.515944
21.213500% done, reward: 3740.880511
21.418600% done, reward: 3741.341802
21.495600% done, reward: 3741.851054
21.578900% done, reward: 3742.352882
21.686300% done, reward: 3742.840192
21.726600% done, reward: 3742.212810
21.803700% done, reward: 3742.708380
21.844100% done, reward: 3742.086284
21.936000% done, reward: 3742.571949
22.015500% done, reward: 3743.058023
22.111400% done, reward: 3743.533148
22.168700% done, reward: 3743.171557
22.324500% done, reward: 3743.618447
22.356800% done, reward: 3743.009181
22.397100% done, reward: 3742.405428
22.551500% done, reward: 3742.850260
22.842000% done, reward: 3743.238948
22.878900% done, reward: 3742.641441
22.969600% done, reward: 3743.103500
23.006700% done, reward: 3742.513172
23.124000% done, reward: 3742.961718
23.209100% done, reward: 3743.418411
23.300200% done, reward: 3743.868875
23.436400% done, reward: 3744.298662
23.612900% done, reward: 3744.709799
23.867000% done, reward: 3745.088795
23.952200% done, reward: 3745.526503
24.171800% done, reward: 3745.911370
24.229200% done, reward: 3745.565505
24.313000% done, reward: 3745.996127
24.471500% done, reward: 3746.396184
24.625900% done, reward: 3746.794344
24.748500% done, reward: 3747.200552
24.837900% done, reward: 3747.615199
25.052700% done, reward: 3747.981940
25.085000% done, reward: 3747.410031
25.126300% done, reward: 3746.842678
25.203300% done, reward: 3747.256338
25.260600% done, reward: 3746.919101
25.343100% done, reward: 3747.327193
25.431900% done, reward: 3747.729801
25.651600% done, reward: 3748.084048
25.743900% done, reward: 3748.479164
25.834100% done, reward: 3748.871837
26.004500% done, reward: 3749.234063
26.061800% done, reward: 3748.898345
26.149300% done, reward: 3749.285634
26.181600% done, reward: 3748.736617
26.284100% done, reward: 3749.116466
26.389200% done, reward: 3749.492480
26.421500% done, reward: 3748.948499
26.693600% done, reward: 3748.521861
26.725900% done, reward: 3747.986955
26.766200% done, reward: 3747.455602
26.866500% done, reward: 3747.832332
26.906800% done, reward: 3747.306182
26.943900% done, reward: 3746.783479
26.984200% done, reward: 3746.265289
27.085200% done, reward: 3746.640622
27.173000% done, reward: 3747.017350
27.257700% done, reward: 3747.392265
27.346400% done, reward: 3747.763090
27.425900% done, reward: 3748.134098
27.466200% done, reward: 3747.620934
27.506500% done, reward: 3747.112096
27.563800% done, reward: 3746.808730
27.649000% done, reward: 3747.176021
27.691900% done, reward: 3746.759328
27.851000% done, reward: 3747.101135
27.943300% done, reward: 3747.461167
27.983800% done, reward: 3747.034392
28.080300% done, reward: 3747.390790
28.162900% done, reward: 3747.748892
28.258700% done, reward: 3748.100392
28.291100% done, reward: 3747.607826
28.376000% done, reward: 3747.960636
28.433300% done, reward: 3747.666580
28.473700% done, reward: 3747.181258
28.514000% done, reward: 3746.698446
28.604200% done, reward: 3747.047910
28.807600% done, reward: 3747.361228
28.898700% done, reward: 3747.705704
28.931000% done, reward: 3747.227760
29.019100% done, reward: 3747.571213
29.076400% done, reward: 3747.286704
29.116700% done, reward: 3746.815605
29.149000% done, reward: 3746.347224
