l,t
1000,3.63482928276062
2000,7.220016956329346
3000,10.803170919418335
4000,14.554077625274658
5000,18.148568391799927
6000,21.696621417999268
7000,25.348413467407227
8000,28.95520043373108
9000,32.604490518569946
10000,36.32351803779602
11000,39.625823736190796
12000,43.05087876319885
13000,46.53568243980408
14000,49.89545512199402
15000,53.200817823410034
16000,56.41866397857666
17000,59.47572660446167
18000,62.695377588272095
19000,66.13176035881042
20000,69.52135610580444
21000,72.7616081237793
22000,75.96565771102905
23000,79.1631212234497
24000,82.61057662963867
25000,86.07665038108826
26000,89.4487361907959
27000,92.85492181777954
28000,96.3215799331665
29000,99.65774822235107
30000,102.87905979156494
31000,106.06624746322632
32000,109.26383113861084
33000,112.61589980125427
34000,116.03211760520935
35000,119.50558471679688
36000,122.8996524810791
37000,126.22006130218506
38000,129.68050456047058
39000,133.07335472106934
40000,136.54369068145752
41000,139.96658325195312
42000,143.37208199501038
43000,146.66552305221558
44000,150.06925892829895
45000,153.44661808013916
46000,156.84167861938477
47000,160.22927832603455
48000,163.69633507728577
49000,167.0747628211975
50000,170.50519633293152
51000,173.92659783363342
52000,177.39255023002625
53000,180.6957824230194
54000,184.13610911369324
55000,187.465106010437
56000,190.89902687072754
57000,194.15552854537964
58000,197.30893206596375
59000,200.59489583969116
60000,203.9687638282776
61000,207.38760471343994
62000,210.83983945846558
63000,214.24832201004028
64000,217.65114831924438
65000,221.07927560806274
66000,224.48565912246704
67000,227.8706920146942
68000,231.36138081550598
69000,234.62774682044983
70000,237.8843801021576
71000,241.22601342201233
72000,244.6274218559265
73000,248.00379300117493
74000,251.43360328674316
75000,254.8985664844513
76000,258.22492837905884
77000,261.8609182834625
78000,265.25131487846375
79000,268.69158935546875
80000,272.1682984828949
81000,275.6210811138153
82000,279.08411407470703
83000,282.529985666275
84000,285.9287188053131
85000,289.4226505756378
86000,292.84288358688354
87000,296.24509286880493
88000,299.7159562110901
89000,303.03901386260986
90000,306.5030748844147
91000,309.81200909614563
92000,313.3186116218567
93000,316.79319643974304
94000,320.09928369522095
95000,323.4622175693512
96000,326.93180227279663
97000,330.3454201221466
98000,333.6738874912262
99000,337.17262029647827
100000,340.9974172115326
101000,344.7103316783905
102000,348.4365780353546
103000,352.1344769001007
104000,355.82714009284973
105000,359.4721429347992
106000,363.1048367023468
107000,366.7675337791443
108000,370.4210526943207
109000,374.04646158218384
110000,377.78023171424866
111000,381.5238537788391
112000,385.42664766311646
113000,389.14112091064453
114000,392.86206245422363
115000,396.45825362205505
116000,400.18582701683044
117000,403.8775312900543
118000,407.68189549446106
119000,411.55257773399353
120000,415.37099504470825
121000,419.16822147369385
122000,422.7499716281891
123000,426.4938426017761
124000,430.30833625793457
125000,434.1258809566498
126000,437.8778522014618
127000,441.50360465049744
128000,445.24828004837036
129000,448.91410732269287
130000,452.7375490665436
131000,456.6355769634247
132000,460.45143866539
133000,464.17172050476074
134000,468.00087237358093
135000,471.9194641113281
136000,475.596111536026
137000,479.42030596733093
138000,483.4436595439911
139000,487.2126863002777
140000,490.9000165462494
141000,494.6629467010498
142000,498.44137835502625
143000,502.245938539505
144000,506.00484895706177
145000,509.96409821510315
146000,513.8086292743683
147000,517.6983580589294
148000,521.5450835227966
149000,525.3853676319122
150000,529.1430048942566
151000,532.9333231449127
152000,536.7725636959076
153000,540.4487690925598
154000,544.1351659297943
155000,548.0389692783356
156000,551.7173626422882
157000,555.4252369403839
158000,559.0475749969482
159000,562.6308312416077
160000,566.31858253479
161000,570.0016732215881
162000,573.8023703098297
163000,577.6128013134003
164000,581.369309425354
165000,585.2850303649902
166000,589.2428350448608
167000,593.2287595272064
168000,597.2259514331818
169000,601.307923078537
170000,605.8061435222626
171000,610.3887813091278
172000,614.2220568656921
173000,617.8979246616364
174000,621.7395670413971
175000,625.5673236846924
176000,629.4854199886322
177000,633.3549094200134
178000,637.1547753810883
179000,640.9645357131958
180000,644.7671632766724
181000,648.6207339763641
182000,652.3687655925751
183000,656.1497857570648
184000,659.9979944229126
185000,663.8105931282043
186000,667.6699874401093
187000,671.3649525642395
188000,675.2110595703125
189000,678.9945294857025
190000,682.7624640464783
191000,686.5425224304199
192000,690.3518691062927
193000,694.16810131073
194000,697.8886663913727
195000,701.7278730869293
196000,705.4394326210022
197000,709.2398838996887
198000,713.0356104373932
199000,716.8913655281067
200000,720.5391540527344
201000,724.4229316711426
202000,728.2155497074127
203000,731.9627690315247
204000,735.6344013214111
205000,739.3166558742523
206000,743.063050031662
207000,746.8851110935211
208000,750.6962690353394
209000,754.5310347080231
210000,758.3168261051178
211000,762.16597032547
212000,766.0466666221619
213000,770.0459575653076
214000,773.7363257408142
215000,777.6309990882874
216000,781.3645589351654
217000,785.1745150089264
218000,788.9738245010376
219000,792.8558619022369
220000,796.6489760875702
221000,800.4866514205933
222000,804.5405929088593
223000,808.2723941802979
224000,812.1551291942596
225000,815.8960888385773
226000,819.7018427848816
227000,823.4264142513275
228000,827.1110301017761
229000,830.9628717899323
230000,834.7879512310028
231000,838.6045699119568
232000,842.4204099178314
233000,846.1337971687317
234000,849.7691209316254
235000,853.5050716400146
236000,857.2300498485565
237000,861.0435919761658
238000,864.5638310909271
239000,868.2993845939636
240000,872.1453590393066
241000,875.8735244274139
242000,879.7095785140991
243000,883.5673813819885
244000,887.3538861274719
245000,891.0446929931641
246000,894.7534742355347
247000,898.5887467861176
248000,902.4084277153015
249000,906.1955382823944
250000,909.8799316883087
251000,913.6657471656799
252000,917.4466924667358
253000,921.3096148967743
254000,925.1113777160645
255000,928.9051778316498
256000,932.525735616684
257000,936.3379878997803
258000,940.1389486789703
259000,943.9592928886414
260000,947.5664036273956
261000,951.2583999633789
262000,955.0174450874329
263000,958.7887980937958
264000,962.5912120342255
265000,966.4059708118439
266000,970.1329171657562
267000,973.8963305950165
268000,977.7469053268433
269000,981.4315853118896
270000,985.1485733985901
271000,988.9495661258698
272000,992.7672529220581
273000,996.8149318695068
274000,1000.9623053073883
275000,1004.6145627498627
276000,1008.2269809246063
277000,1011.8432221412659
278000,1015.3659455776215
279000,1018.9317708015442
280000,1022.6467182636261
281000,1026.149905204773
282000,1029.6164209842682
283000,1033.0870416164398
284000,1036.511517047882
285000,1040.0083575248718
286000,1043.4135451316833
287000,1047.0874898433685
288000,1050.3083460330963
289000,1053.6054351329803
