r,l,t
645.973859846592,69,0.25637102127075195
3639.6500695943832,418,1.738795518875122
3646.2900370955467,399,3.195497751235962
3665.261380314827,349,4.4395387172698975
9836.277726769447,737,7.064062833786011
9824.833299696445,789,9.89347767829895
643.1281599998474,69,10.168922662734985
3637.7529351115227,327,11.339067220687866
3633.958669245243,454,12.982398986816406
3736.403863489628,316,14.259469032287598
1028.2461996078491,98,14.63901400566101
9811.333320915699,849,17.656445503234863
3635.855802476406,378,18.988420724868774
3642.495774924755,386,20.3335862159729
1029.194762289524,87,20.67265009880066
9832.055552363396,756,23.3846538066864
4147.133202433586,375,24.759119033813477
3642.4957736730576,367,26.12197232246399
9843.222214400768,706,28.648457527160645
9121.055521547794,3956,42.61338949203491
3639.6500719189644,364,43.89553093910217
3642.495773792267,341,45.103381395339966
3631.112976908684,442,46.63982582092285
3635.8558019399643,438,48.15151023864746
2.1517276763916016e-05,4500,62.54951882362366
9823.388832867146,795,65.28626084327698
1.1205673217773438e-05,4500,80.01815700531006
9857.222179114819,643,82.26340460777283
1031.0919016599655,95,82.62374424934387
3638.7015063762665,403,84.0015037059784
1032.040468454361,95,84.36614322662354
3298.166101872921,1129,88.17691445350647
3635.8558049201965,439,89.67118215560913
2028.0354125499725,1039,93.21612882614136
3635.8558077812195,403,94.60632014274597
3639.650068819523,439,96.11355638504028
1.0669231414794922e-05,4500,110.70225024223328
9752.777758419514,1113,114.47966718673706
3646.2900437116623,337,115.64791011810303
3649.135732591152,326,116.78328323364258
5070.08852571249,495,118.51917433738708
9779.444439291954,993,121.90621566772461
9654.277749061584,1556,127.13694620132446
5070.088529825211,573,129.12492752075195
9787.61105388403,956,132.37236976623535
9798.666641056538,906,135.51466870307922
3642.4957724809647,404,136.9055790901184
9828.833295941353,771,139.52259612083435
5067.24282091856,573,141.50364208221436
9780.388834297657,989,144.7669701576233
3638.7015109062195,406,146.1169149875641
3642.495767712593,324,147.23722505569458
9621.444446384907,1704,152.9900975227356
3635.855801284313,323,154.11406445503235
9754.333304464817,1106,157.8587052822113
9811.944396793842,847,160.7383632659912
4242.938439369202,428,162.22128987312317
9751.611058712006,1118,166.01589822769165
9831.944407641888,757,168.5986385345459
4147.133208692074,427,170.0647954940796
3635.8558069467545,403,171.45803570747375
3646.290038526058,403,172.8411021232605
4244.835569560528,444,174.38074016571045
3633.010106444359,381,175.69039630889893
9653.94443398714,1558,180.93400263786316
3635.8558027744293,324,182.06088042259216
9624.277729272842,1691,187.7511990070343
3635.855805814266,403,189.14151549339294
281.7242667078972,4500,203.88416934013367
3638.7015016674995,403,205.279860496521
3639.6500702500343,323,206.39988446235657
3642.495773434639,404,207.78003978729248
9821.499984323978,804,210.54065823554993
9785.499948143959,966,213.8279469013214
9772.27774977684,1025,217.31922602653503
9772.444426715374,1024,220.82865595817566
3646.290040254593,403,222.22448348999023
9777.388849198818,1002,225.63490915298462
9776.944423794746,1004,229.03708386421204
5067.242830336094,573,231.04317498207092
9646.277731955051,1592,236.2008306980133
9466.499991953373,2401,244.2905933856964
9776.33329463005,1007,247.6909737586975
3635.855806708336,404,249.08551716804504
3646.2900383472443,403,250.47240138053894
3635.8558062911034,403,251.86826729774475
3635.8558032512665,324,252.9861478805542
4246.732703506947,428,254.46397352218628
9335.944392561913,2989,264.7791168689728
3646.2900401353836,403,266.16620802879333
9823.333288192749,795,268.9235951900482
3646.2900354862213,323,270.048259973526
9798.499942839146,907,273.17362546920776
3646.2900389432907,404,274.56946992874146
9789.944390118122,946,277.8376684188843
9776.333288609982,1007,281.3283267021179
3642.4957733750343,371,282.62095618247986
9779.499983906746,993,285.9952778816223
5071.03708833456,574,287.98055148124695
3639.650072336197,403,289.36811804771423
3638.701507627964,479,291.0061640739441
5066.294261932373,573,293.0080461502075
9754.444407105446,1105,296.7684545516968
3638.7015060186386,403,298.15831995010376
9653.83333516121,1558,303.4262707233429
3635.8558062911034,403,304.81137681007385
9618.38886809349,1718,310.6228711605072
5067.242829620838,573,312.64360189437866
3635.855802357197,323,313.7609405517578
5067.242829084396,574,315.7597987651825
9528.777734994888,2121,322.85145592689514
3647.238608419895,349,324.05142164230347
3639.650074839592,350,325.26573610305786
3635.8558074831963,404,326.6552360057831
9843.777751028538,703,329.0802330970764
9654.222203075886,1556,334.31329250335693
9794.94441062212,923,337.6016261577606
5067.24282938242,573,339.8250460624695
3639.650075137615,404,341.3143973350525
9754.388863384724,1106,345.4625563621521
3298.1660898923874,4349,361.4165449142456
9799.055506110191,905,364.6789245605469
9786.94441050291,959,368.1908495426178
9780.388848662376,989,371.8108265399933
9811.888852119446,847,374.91522121429443
3646.2900356650352,323,376.10743260383606
4987.5632237792015,532,378.1513891220093
3646.2900399565697,371,379.5381410121918
9772.277707755566,1025,383.39650201797485
9503.999942779541,2232,391.8024022579193
9619.333274126053,1713,398.0793125629425
9592.333299696445,1835,404.92498087882996
9815.222169101238,832,408.0801315307617
9804.66661709547,879,411.4492828845978
9815.05554986,833,414.634299993515
5071.037095248699,574,416.9011878967285
5067.242821395397,573,418.99435782432556
3639.6500726938248,431,420.56716656684875
9772.55551558733,1024,424.29867482185364
9724.055536210537,1242,428.95939469337463
3642.495768368244,323,430.2097234725952
4244.8355712890625,444,431.9187750816345
3635.8558032512665,323,433.1455452442169
9335.99995213747,2988,444.20858430862427
9760.55552047491,1078,448.18942856788635
3639.650073647499,403,449.7102208137512
3642.495772898197,404,451.26953387260437
9845.499935150146,696,453.9534909725189
3638.70150578022,371,455.41317772865295
9772.277728199959,1025,459.3430721759796
9781.166614353657,985,463.06470108032227
3635.8558089733124,478,464.85529351234436
9814.94441062212,833,468.06810903549194
9788.166671395302,954,471.74820280075073
9646.22220736742,1592,477.6774191856384
5067.242828965187,573,479.9324722290039
9801.49995481968,894,483.5425589084625
9548.055541932583,2034,491.11545181274414
9654.277764976025,1556,496.9342713356018
3633.95866894722,368,498.337317943573
3635.855807006359,372,499.78158164024353
9781.11109149456,985,503.4926836490631
9801.555547118187,893,506.9931290149689
3638.7015008330345,404,508.520959854126
3642.495770037174,324,509.77128982543945
3638.7015060186386,430,511.4342784881592
9823.222190737724,796,514.5164511203766
3635.855801463127,324,515.7764518260956
3638.7015030384064,323,517.0188021659851
3639.6500729322433,403,518.5755019187927
9810.722173690796,852,521.8832228183746
9798.555527091026,907,525.3287608623505
7708.052246928215,1885,532.4415867328644
3642.4957740306854,403,534.0138354301453
9816.72218209505,825,537.1701385974884
3645.3414737582207,414,538.7048842906952
9727.666653692722,1226,543.1498334407806
3642.4957676529884,323,544.4153246879578
3638.7015060782433,371,545.8523848056793
9776.49994623661,1006,549.6665685176849
5070.088519275188,573,551.8143270015717
9815.166632831097,832,554.8607442378998
9790.277725100517,944,558.2973740100861
9659.7777069211,1531,563.8314878940582
9777.333290219307,1002,567.5270349979401
9781.277725338936,985,571.2046298980713
3635.8558064699173,403,572.7642126083374
5066.2942643761635,573,574.8978321552277
9804.6666187644,879,578.2656161785126
9653.77773207426,1558,584.1911454200745
3642.4957752227783,404,585.8023085594177
9866.055536687374,603,588.1592621803284
3647.2386048436165,347,589.5702149868011
9772.333295404911,1025,593.6702380180359
9786.944401741028,959,597.506388425827
9813.722192645073,839,600.8846967220306
3638.701506614685,430,602.720360994339
9798.388857245445,908,607.4191915988922
3646.2900354862213,323,608.6960408687592
3635.8558028936386,323,609.9282097816467
3635.8558064699173,403,611.4758250713348
9544.111100316048,2052,619.1789512634277
3646.2900408506393,371,620.6302118301392
3638.7015011906624,404,622.1901924610138
3646.290038585663,430,623.8390030860901
9758.722177922726,1086,628.0678408145905
3646.2900390028954,403,629.6345658302307
