0.038100% done, reward: 3716.483970
0.071000% done, reward: 3718.381101
0.081100% done, reward: 2823.250412
0.092900% done, reward: 2375.210785
0.140300% done, reward: 2767.348220
0.147300% done, reward: 2413.785826
0.216300% done, reward: 3475.649746
0.299500% done, reward: 4268.089361
0.308600% done, reward: 3908.422977
0.374300% done, reward: 4502.997341
0.508700% done, reward: 4975.573338
0.752700% done, reward: 5349.104259
0.759900% done, reward: 4987.324997
0.838400% done, reward: 5332.920826
0.876400% done, reward: 5224.525991
1.029400% done, reward: 5501.750057
1.036300% done, reward: 5216.227759
1.043600% done, reward: 4962.535557
1.141200% done, reward: 4960.566421
1.201700% done, reward: 4961.089570
1.234700% done, reward: 4846.406501
1.246600% done, reward: 4602.139109
1.314400% done, reward: 4602.709068
1.387900% done, reward: 4602.817350
1.445700% done, reward: 4603.269356
1.519200% done, reward: 4587.252961
1.605100% done, reward: 4587.086293
1.755800% done, reward: 4425.035911
1.808000% done, reward: 4256.629473
1.840200% done, reward: 4089.368096
1.912500% done, reward: 4091.658710
2.016100% done, reward: 4047.312547
2.113900% done, reward: 4056.337240
2.157900% done, reward: 3972.002155
2.275700% done, reward: 3917.719614
2.361200% done, reward: 3941.436873
2.592800% done, reward: 3952.059821
2.650300% done, reward: 3962.724090
2.882900% done, reward: 3967.254124
2.968400% done, reward: 3972.920940
3.035200% done, reward: 3977.586008
3.260900% done, reward: 3979.355408
3.318700% done, reward: 3982.688059
3.362700% done, reward: 3963.218175
3.406700% done, reward: 3946.743657
3.496900% done, reward: 3951.405645
3.712800% done, reward: 3954.411672
3.859500% done, reward: 3957.575897
4.065800% done, reward: 3959.935217
4.109800% done, reward: 3948.219341
4.153800% done, reward: 3937.750582
4.330500% done, reward: 3940.929677
4.416000% done, reward: 3944.342009
4.460800% done, reward: 3935.477051
4.561100% done, reward: 3938.750556
4.630500% done, reward: 3941.910091
4.852100% done, reward: 3944.065505
4.954400% done, reward: 3946.621238
5.153200% done, reward: 3948.546414
5.238800% done, reward: 3950.833527
5.444500% done, reward: 3952.451413
5.511300% done, reward: 3954.533251
5.596900% done, reward: 3956.405707
5.682400% done, reward: 3958.161424
5.877300% done, reward: 3959.401737
6.065200% done, reward: 3960.594507
6.150700% done, reward: 3962.080142
6.236300% done, reward: 3963.482985
6.321900% done, reward: 3964.809998
6.407400% done, reward: 3966.067331
6.493100% done, reward: 3967.259790
6.559900% done, reward: 3968.450959
6.617400% done, reward: 3969.611950
6.702900% done, reward: 3970.635205
6.788500% done, reward: 3971.610795
7.020100% done, reward: 3972.132247
7.215000% done, reward: 3972.731347
7.312600% done, reward: 3973.565403
7.398400% done, reward: 3974.395028
7.540600% done, reward: 3975.044959
7.598300% done, reward: 3975.881200
7.683900% done, reward: 3976.615287
7.769700% done, reward: 3977.320103
7.850100% done, reward: 3978.010511
7.907800% done, reward: 3978.727686
7.951800% done, reward: 3974.474385
8.009700% done, reward: 3975.229493
8.459700% done, reward: 3966.164478
8.517500% done, reward: 3967.039041
8.575200% done, reward: 3967.883606
8.781500% done, reward: 3968.388599
8.881900% done, reward: 3969.094608
9.076800% done, reward: 3969.586313
9.177100% done, reward: 3970.250529
9.404800% done, reward: 3970.643952
9.506600% done, reward: 3971.267895
9.729300% done, reward: 3971.643057
9.773300% done, reward: 3968.270427
9.875800% done, reward: 3968.900660
9.933600% done, reward: 3969.593421
10.019200% done, reward: 3970.216495
10.166100% done, reward: 3970.713655
10.251900% done, reward: 3971.303052
10.337700% done, reward: 3971.875992
10.381700% done, reward: 3968.823573
10.467500% done, reward: 3969.414535
10.511500% done, reward: 3966.476333
10.605800% done, reward: 3967.068901
10.778100% done, reward: 3967.520937
10.860900% done, reward: 3968.103121
11.024300% done, reward: 3968.544530
11.109900% done, reward: 3969.094966
11.167800% done, reward: 3969.674068
11.253300% done, reward: 3970.197416
11.351400% done, reward: 3969.317101
11.437000% done, reward: 3969.832165
11.494800% done, reward: 3970.375451
11.700500% done, reward: 3970.693750
11.802500% done, reward: 3971.151886
11.869300% done, reward: 3971.649098
11.955000% done, reward: 3972.108920
12.100300% done, reward: 3972.476665
12.185800% done, reward: 3972.917456
12.243300% done, reward: 3973.386238
12.443600% done, reward: 3973.655373
12.517500% done, reward: 3974.084825
12.603100% done, reward: 3974.490096
12.660800% done, reward: 3974.922707
12.727600% done, reward: 3975.334880
12.874500% done, reward: 3975.637734
13.014200% done, reward: 3975.943417
13.464200% done, reward: 3970.859869
13.704400% done, reward: 3971.083959
13.789900% done, reward: 3971.490898
13.856700% done, reward: 3971.912379
13.976700% done, reward: 3972.262543
14.079000% done, reward: 3972.626907
14.123000% done, reward: 3970.517686
14.208800% done, reward: 3970.910584
14.451200% done, reward: 3971.117136
14.598100% done, reward: 3971.428150
14.655500% done, reward: 3971.833874
14.735900% done, reward: 3972.206735
14.793500% done, reward: 3972.598041
14.837500% done, reward: 3970.619735
14.923100% done, reward: 3970.987802
14.967100% done, reward: 3969.060195
15.056800% done, reward: 3969.430997
15.114400% done, reward: 3969.829384
15.208800% done, reward: 3970.182518
15.275600% done, reward: 3970.558350
15.422500% done, reward: 3970.845460
15.656000% done, reward: 3971.039491
15.820000% done, reward: 3971.300671
15.905600% done, reward: 3971.636320
15.962800% done, reward: 3971.994757
16.150200% done, reward: 3972.218940
16.208000% done, reward: 3972.566500
16.252000% done, reward: 3970.808598
16.296000% done, reward: 3969.076105
16.381500% done, reward: 3969.413411
16.624200% done, reward: 3969.596265
16.824300% done, reward: 3969.816450
16.921600% done, reward: 3970.129492
17.007100% done, reward: 3970.448734
17.183900% done, reward: 3970.679094
17.264300% done, reward: 3970.994222
17.331100% done, reward: 3971.317084
17.563400% done, reward: 3971.486071
17.620600% done, reward: 3971.809233
17.706100% done, reward: 3972.102610
18.156100% done, reward: 3968.498939
18.241900% done, reward: 3968.811392
18.422100% done, reward: 3969.037414
18.642600% done, reward: 3969.225483
18.728200% done, reward: 3969.526551
18.786000% done, reward: 3969.847180
18.852800% done, reward: 3970.155806
18.938300% done, reward: 3970.444485
19.159600% done, reward: 3970.616005
19.307800% done, reward: 3970.845749
19.393300% done, reward: 3971.124035
