l,t
1000,4.059077024459839
2000,8.159069299697876
3000,11.847739934921265
4000,15.481745719909668
5000,19.202001333236694
6000,22.81275224685669
7000,26.124134302139282
8000,29.60992121696472
9000,32.93922543525696
10000,36.32212567329407
11000,39.70565891265869
12000,43.04661750793457
13000,46.39226174354553
14000,49.73459243774414
15000,53.12728023529053
16000,56.57797980308533
17000,59.994457721710205
18000,63.288543939590454
19000,66.49518585205078
20000,69.68637251853943
21000,72.98649787902832
22000,76.58650588989258
23000,80.27359628677368
24000,83.68587946891785
25000,87.06270003318787
26000,90.47360587120056
27000,93.75371646881104
28000,96.95322942733765
29000,100.0101866722107
30000,103.06251668930054
31000,106.55221056938171
32000,110.2890477180481
33000,113.69862508773804
34000,117.09263825416565
35000,120.52985525131226
36000,123.70306277275085
37000,127.10196089744568
38000,130.83632969856262
39000,134.31663393974304
40000,137.9756634235382
41000,141.62285947799683
42000,145.05240201950073
43000,148.82531070709229
44000,152.24743175506592
45000,155.85269379615784
46000,159.44989943504333
47000,162.95568108558655
48000,166.34883999824524
49000,169.6875
50000,172.67545676231384
51000,175.82471013069153
52000,179.14732098579407
53000,182.89220881462097
54000,186.29921555519104
55000,189.8070821762085
56000,193.40675282478333
57000,196.85440921783447
58000,200.408305644989
59000,203.9468936920166
60000,207.45503211021423
61000,211.10601329803467
62000,214.51803421974182
63000,217.74661707878113
64000,220.76282835006714
65000,223.945317029953
66000,227.19224524497986
67000,230.57499766349792
68000,234.02431654930115
69000,237.50460624694824
70000,240.89183402061462
71000,244.27746725082397
72000,247.73405480384827
73000,251.49446487426758
74000,254.98695611953735
75000,258.52814769744873
76000,262.43705892562866
77000,266.21044158935547
78000,269.88229155540466
79000,273.9711000919342
80000,277.62838101387024
81000,281.30508518218994
82000,284.9488470554352
83000,288.79059410095215
84000,292.34513330459595
85000,295.90270161628723
86000,299.5035488605499
87000,303.35011172294617
88000,306.7721633911133
89000,310.4895558357239
90000,314.0410099029541
91000,317.5459623336792
92000,321.5107579231262
93000,325.14660382270813
94000,328.78770422935486
95000,332.2577269077301
96000,335.48290252685547
97000,338.794780254364
98000,342.2129285335541
99000,345.74897480010986
100000,350.09671092033386
101000,353.8361577987671
102000,357.87721037864685
103000,361.47716188430786
104000,365.02476978302
105000,368.5474064350128
106000,372.76271080970764
107000,376.6645293235779
108000,380.2439513206482
109000,383.8231906890869
110000,387.4958441257477
111000,391.0167164802551
112000,394.5290825366974
113000,398.59929156303406
114000,402.46558237075806
115000,406.00898694992065
116000,409.4641463756561
117000,412.59874653816223
118000,416.20315051078796
119000,419.6122238636017
120000,423.103994846344
121000,426.2507770061493
122000,429.426518201828
123000,432.7088372707367
124000,435.9570014476776
125000,439.3529119491577
126000,442.6388113498688
127000,445.8288629055023
128000,449.0007531642914
129000,452.16933250427246
130000,455.52650690078735
131000,460.74941968917847
132000,464.4243133068085
133000,467.89775109291077
134000,15106.111815690994
135000,15113.405699968338
136000,15117.278180122375
137000,15121.179431200027
138000,15125.235327005386
139000,15129.001265764236
140000,15133.225362300873
141000,15137.03252696991
142000,15140.601771831512
143000,15144.227632045746
144000,15147.878158807755
145000,15151.59200835228
146000,15155.409678220749
147000,15159.211288690567
148000,15162.836500406265
149000,15166.216283082962
150000,15169.428384304047
151000,15173.583683729172
152000,15176.860268115997
153000,15180.088452577591
154000,15183.065632343292
155000,15186.203167200089
156000,15189.127400398254
157000,15192.442011594772
158000,15195.670257091522
159000,15199.165430307388
160000,15202.509336233139
161000,15205.77720451355
162000,15208.873114347458
163000,15211.951695680618
164000,15215.130866289139
165000,15218.590724945068
166000,15221.968533754349
167000,15225.408352136612
168000,15228.723379611969
169000,15232.546989917755
170000,15236.315743923187
171000,15239.729985237122
