l,t
1000,6.425823926925659
2000,12.834715127944946
3000,19.25174117088318
4000,25.626708269119263
5000,43.45048499107361
6000,49.92425727844238
7000,56.37198281288147
8000,62.72484564781189
9000,80.13032579421997
10000,86.43693113327026
11000,92.73759698867798
12000,99.06809067726135
13000,117.03118133544922
14000,123.54592227935791
15000,129.96748399734497
16000,136.4365313053131
17000,154.00577902793884
18000,160.56304264068604
19000,167.0851662158966
20000,173.52569389343262
21000,191.21141457557678
22000,197.53507208824158
23000,203.99808359146118
24000,210.3900487422943
25000,228.50087881088257
26000,234.91577744483948
27000,241.33550381660461
28000,247.7494466304779
29000,265.07365894317627
30000,271.4981110095978
31000,277.91441106796265
32000,284.70016050338745
33000,304.18175292015076
34000,310.69905710220337
35000,317.19697856903076
36000,323.81708002090454
37000,342.23174929618835
38000,348.9790549278259
39000,355.5099763870239
40000,361.88487935066223
41000,380.0607135295868
42000,386.35170316696167
43000,392.7582085132599
44000,399.1919138431549
45000,405.6086447238922
46000,423.5986316204071
47000,429.85881423950195
48000,436.30882596969604
49000,442.68624782562256
50000,460.5008316040039
51000,466.98446822166443
52000,473.4512312412262
53000,479.89407658576965
54000,497.71037220954895
55000,504.07937574386597
56000,510.5883824825287
57000,516.958181142807
58000,534.6769437789917
59000,541.0871078968048
60000,547.6884372234344
61000,554.1817498207092
62000,571.691642999649
63000,578.1144914627075
64000,584.4962871074677
65000,590.9690685272217
66000,608.6601185798645
67000,614.983989238739
68000,621.3529334068298
69000,627.8551204204559
70000,645.546647310257
71000,651.9487431049347
72000,658.3204116821289
73000,664.7181060314178
74000,682.6168370246887
75000,688.9368715286255
76000,695.2052748203278
77000,701.7516701221466
78000,719.411881685257
79000,725.8231739997864
80000,732.1960444450378
81000,738.6005342006683
82000,756.9095034599304
83000,763.4362182617188
84000,769.7799499034882
85000,776.0763094425201
86000,782.4690568447113
87000,800.3584411144257
88000,806.6216096878052
89000,812.9098951816559
90000,819.1917498111725
91000,837.3335545063019
92000,843.612553358078
93000,850.0896182060242
94000,856.3950686454773
95000,874.3561053276062
96000,880.5800879001617
97000,886.8414726257324
98000,893.1762781143188
99000,910.8560085296631
100000,917.2935407161713
101000,923.7471716403961
102000,930.0630466938019
103000,947.930547952652
104000,954.3537695407867
105000,960.8134045600891
106000,967.2749581336975
107000,984.8553674221039
108000,991.5484557151794
109000,998.197003364563
110000,1004.819137096405
111000,1022.7963991165161
112000,1029.4385192394257
113000,1035.9644632339478
114000,1042.5633397102356
115000,1060.0308055877686
116000,1066.4879968166351
117000,1072.9005131721497
118000,1079.3654577732086
119000,1097.2901327610016
120000,1103.833749294281
121000,1110.6272823810577
122000,1117.3604824543
123000,1134.9355444908142
124000,1141.4136378765106
125000,1147.9729886054993
126000,1154.4987745285034
127000,1172.2795102596283
128000,1178.836199760437
129000,1185.2384316921234
130000,1191.659908771515
131000,1198.0697367191315
132000,1215.7261273860931
133000,1222.4092600345612
134000,1229.1037805080414
135000,1235.7327382564545
136000,1253.6393237113953
137000,1260.0946440696716
138000,1266.800125360489
139000,1273.385802268982
140000,1291.6222507953644
141000,1298.0509095191956
142000,1304.4382605552673
143000,1310.8125758171082
144000,1327.9266970157623
145000,1334.603034734726
146000,1341.0158529281616
147000,1347.4265809059143
148000,1365.212989807129
149000,1371.7250859737396
150000,1378.417789697647
151000,1385.2743499279022
152000,1402.9364109039307
153000,1409.520486831665
154000,1416.0068535804749
155000,1422.4234824180603
156000,1440.068604707718
157000,1446.76691198349
158000,1453.205053806305
159000,1459.6529343128204
160000,1477.1305181980133
161000,1483.555876493454
162000,1490.296543598175
163000,1496.8152070045471
164000,1514.302720785141
165000,1520.7183322906494
166000,1527.1631305217743
167000,1533.7546668052673
168000,1552.1235466003418
169000,1558.9360728263855
170000,1565.517893075943
171000,1572.1364398002625
172000,1578.8035027980804
173000,1596.5168406963348
174000,1603.2658383846283
175000,1609.7258858680725
176000,1616.1922991275787
177000,1633.7078580856323
178000,1640.076354265213
179000,1646.7571802139282
180000,1653.4049625396729
181000,1670.6682364940643
182000,1677.1082935333252
183000,1683.5952661037445
184000,1690.1154890060425
185000,1707.5047163963318
186000,1713.942673921585
187000,1720.3376064300537
188000,1726.7044486999512
189000,1744.1565005779266
190000,1750.587189912796
