r,l,t
-4.172325134277344e-07,4500,40.17271852493286
670.6365957260132,4500,80.13192009925842
651.6652739048004,4500,120.27422761917114
1637.2259786128998,4500,160.56565117835999
2618.9924214482307,4500,200.753164768219
733.2419944405556,4500,241.33686590194702
3117.9384539723396,4500,281.0577528476715
1634.3802649378777,4500,323.81850814819336
622.2596951723099,167,324.9840898513794
5042.580103635788,4500,366.11434507369995
5112.774036049843,4500,418.257936000824
5124.156835138798,4500,458.26281094551086
3739.2495839595795,949,464.48832726478577
1030.1433378458023,692,468.9404306411743
5079.574205100536,4500,509.27027797698975
2163.6804332733154,2482,536.5180184841156
4242.938449919224,1000,542.9608554840088
3734.5067517757416,572,546.7520232200623
5126.053968608379,4500,586.8058114051819
5084.317044079304,4500,626.884298324585
5152.613836944103,4500,667.0385656356812
1032.0404719114304,139,667.9923069477081
4248.62984752655,3395,701.0081777572632
5100.442671716213,4500,741.1525192260742
5148.819562494755,4500,781.6674313545227
637.4367663860321,76,782.2392342090607
5142.179610550404,4500,833.8165774345398
2212.057334423065,326,835.9800322055817
2265.1770693063736,1223,843.7447266578674
1029.1947730183601,143,844.7179400920868
2164.6290028095245,341,846.8837368488312
5150.716712832451,4500,886.873517036438
3740.1981431245804,1333,906.5552077293396
3741.146716237068,414,909.2581527233124
3744.940986931324,1001,915.557900428772
640.282461643219,85,916.1666736602783
3743.043854176998,407,918.837468624115
3745.8895542621613,545,922.3249621391296
1031.0919077396393,114,923.095870256424
3740.1981405615807,926,928.9396119117737
3743.992407143116,651,944.4584522247314
638.3853312134743,83,945.0457003116608
4988.511808514595,4500,985.2784156799316
637.4367622733116,74,985.8364186286926
3740.1981472969055,475,988.9578719139099
4251.475548863411,579,992.8023443222046
3735.455314695835,496,996.0907709598541
4162.310282289982,715,1000.8253517150879
4243.887004733086,501,1004.137264251709
4245.78415453434,738,1020.3158822059631
642.1795970201492,75,1020.8330245018005
628.899666249752,88,1021.4443082809448
642.179595708847,78,1021.9946999549866
1028.2462105751038,121,1022.8224809169769
3740.198150753975,804,1028.0843901634216
1032.0404741764069,108,1028.8389511108398
3741.1467134952545,547,1032.4340732097626
3744.9409850239754,657,1036.7390496730804
3749.6838203668594,483,1039.8966255187988
2008.115512251854,225,1041.3887403011322
5080.522762417793,4500,1081.4823586940765
4352.023609220982,478,1095.9240989685059
642.179595887661,87,1096.5440382957458
4161.36171656847,788,1101.7163243293762
4157.567454338074,449,1104.689926624298
644.0767307281494,72,1105.2186880111694
4239.144178509712,569,1108.9735841751099
645.0252956748009,74,1109.5106987953186
761.6989896297455,105,1110.2446630001068
1032.0404750704765,94,1110.9127662181854
625.1053962111473,84,1111.509429693222
640.2824609875679,76,1112.0583190917969
4254.321243405342,669,1116.4583115577698
5112.774027943611,4500,1156.8724083900452
5063.448574066162,502,1160.2330775260925
4240.092748939991,868,1176.9964880943298
645.0252940654755,76,1177.54252409935
1030.143337070942,134,1178.4673533439636
4948.672015964985,4500,1218.6303849220276
3736.403874397278,422,1221.5001063346863
1028.2462037205696,118,1222.3049228191376
645.0252946615219,68,1222.816138267517
1031.0919075012207,101,1223.540457725525
3736.4038791060448,434,1226.4313321113586
3741.1467164754868,602,1230.3875360488892
645.9738613367081,70,1230.9012517929077
5127.951116263866,4500,1271.788967847824
3745.889548897743,358,1274.2098186016083
3747.78668230772,362,1288.1585764884949
1028.2462077736855,97,1288.8524856567383
5140.282479465008,4500,1328.4739809036255
3743.9924045801163,416,1331.2371368408203
3643.4443474411964,402,1333.912531375885
5108.031207680702,4500,1374.3269038200378
4244.835580945015,472,1377.4650330543518
1032.9890377521515,96,1378.157246351242
1030.1433374881744,96,1378.8579998016357
4240.092747747898,552,1382.5116307735443
646.922424197197,68,1383.0173642635345
650.7166903018951,74,1383.552913427353
640.2824601531029,78,1384.1153728961945
1029.1947727799416,94,1384.783432006836
3736.4038803577423,437,1387.6680762767792
641.2310292720795,74,1388.2013943195343
642.1795946359634,70,1388.7216169834137
1032.040471792221,95,1400.2809736728668
642.1795945167542,76,1400.828156709671
3747.786675274372,399,1403.487319469452
5131.745370745659,4500,1443.8579590320587
640.2824621200562,75,1444.439279794693
1032.0404740571976,95,1445.111592054367
5186.762236297131,4500,1485.1693749427795
3631.112983584404,410,1487.9215528964996
641.2310292720795,74,1488.4707658290863
5189.607923448086,4500,1528.6941595077515
3737.3524523973465,425,1531.5284399986267
4238.195619463921,665,1535.880066871643
4256.218387186527,515,1539.2787637710571
1029.1947685480118,91,1539.926989555359
1032.0404678583145,95,1552.3121626377106
3633.010109603405,351,1554.6370294094086
638.3853311538696,76,1555.1804375648499
2223.4401374459267,199,1556.5151093006134
1032.9890412688255,96,1557.196677684784
1032.9890410900116,96,1557.8786964416504
4149.030358016491,714,1562.5695497989655
4240.092741250992,478,1565.7634465694427
4244.835588872433,383,1568.2894570827484
4257.166945040226,427,1571.108936548233
4238.195615589619,406,1573.7866432666779
3740.1981424093246,356,1576.1484355926514
645.0252933502197,77,1576.7159402370453
3747.7866821289062,475,1590.9826130867004
3734.5067396759987,565,1594.7059471607208
3745.889537215233,466,1597.771526813507
1032.9890341758728,93,1598.4476065635681
1028.2462089061737,126,1599.3117451667786
3746.838113486767,395,1601.8902308940887
642.1795952916145,86,1602.5204601287842
5094.751268982887,4500,1642.5838997364044
1032.0404717326164,94,1643.2842190265656
649.7681248188019,73,1643.8100328445435
3744.940979897976,308,1645.8525488376617
3737.3524471521378,346,1648.1340985298157
1031.0919014811516,92,1648.8027710914612
4828.204053878784,4500,1688.7943687438965
5135.539615273476,4500,1728.6996281147003
5116.56829982996,4500,1780.7005338668823
1032.9890373945236,95,1781.3755195140839
641.2310281395912,70,1781.8900718688965
