l,t
1000,3.27919340133667
2000,6.619523763656616
3000,9.889400482177734
4000,13.174102067947388
5000,16.3441379070282
6000,19.606712818145752
7000,22.972702026367188
8000,26.232746124267578
9000,29.440210580825806
10000,32.85044312477112
11000,36.19758415222168
12000,39.39983892440796
13000,42.72220420837402
14000,46.05903744697571
15000,49.142847776412964
16000,52.293853759765625
17000,55.389342069625854
18000,58.567808389663696
19000,61.75208592414856
20000,65.04552459716797
21000,68.10339951515198
22000,71.21726775169373
23000,74.42694067955017
24000,77.4816586971283
25000,80.60818719863892
26000,83.87576627731323
27000,86.91591238975525
28000,89.98076319694519
29000,92.98630547523499
30000,96.26497435569763
31000,99.5224757194519
32000,102.67054796218872
33000,106.0115430355072
34000,109.11306977272034
35000,112.17301487922668
36000,115.27617025375366
37000,118.31385445594788
38000,121.42530155181885
39000,124.53142237663269
40000,127.66023683547974
41000,130.84153628349304
42000,133.93198490142822
43000,137.05830430984497
44000,140.07800698280334
45000,143.22271251678467
46000,146.44046926498413
47000,149.58766055107117
48000,152.7138111591339
49000,155.84582471847534
50000,158.91978335380554
51000,162.20621156692505
52000,165.56406378746033
53000,168.79912972450256
54000,172.07312512397766
55000,175.21610069274902
56000,178.3885498046875
57000,181.65280747413635
58000,184.89112830162048
59000,187.99235105514526
60000,191.04929971694946
61000,194.2466540336609
62000,197.47460174560547
63000,200.67545771598816
64000,203.8378186225891
65000,207.04774141311646
66000,210.32280349731445
67000,213.61763620376587
68000,216.72780847549438
69000,219.82460594177246
70000,222.80233120918274
71000,225.96797919273376
72000,229.02021837234497
73000,232.0469672679901
74000,235.01566863059998
75000,238.10857558250427
76000,241.11539101600647
77000,244.1862759590149
78000,247.2378008365631
79000,250.24582695960999
80000,253.31693315505981
81000,256.51517152786255
82000,259.8240165710449
83000,262.9458372592926
84000,266.1784267425537
85000,269.4824175834656
86000,272.70306038856506
87000,275.8954668045044
88000,279.1506586074829
89000,282.39290475845337
90000,285.50410890579224
91000,288.6476299762726
92000,291.75692653656006
93000,294.89929461479187
94000,297.97878885269165
95000,301.10607504844666
96000,304.24954056739807
97000,307.26870679855347
98000,310.3033232688904
99000,313.36078429222107
100000,316.63802766799927
101000,319.79625272750854
102000,322.9644343852997
103000,326.04952025413513
104000,329.0680401325226
105000,332.22601985931396
106000,335.36090874671936
107000,338.5351221561432
108000,341.60077834129333
109000,344.63851284980774
110000,347.8580131530762
111000,351.4246871471405
112000,354.6348702907562
113000,357.7962579727173
114000,360.91109561920166
115000,364.083758354187
116000,367.11046957969666
117000,370.158175945282
118000,373.3164532184601
119000,376.3608763217926
120000,379.5665452480316
121000,382.7838010787964
122000,386.1025049686432
123000,389.3509681224823
124000,392.5276072025299
125000,395.6806378364563
126000,398.80647444725037
127000,401.947144985199
128000,404.95155572891235
129000,408.0459747314453
130000,411.002473115921
131000,414.0411117076874
132000,417.10992312431335
133000,420.22175908088684
134000,423.35095477104187
135000,426.5229592323303
136000,429.6090941429138
137000,432.70888447761536
138000,435.79642128944397
139000,438.7982280254364
140000,441.9210753440857
141000,445.0565667152405
142000,448.195219039917
143000,451.27124643325806
144000,454.31396746635437
145000,457.4293406009674
146000,460.5263261795044
147000,463.6472473144531
148000,466.71707010269165
149000,469.78093791007996
150000,472.8009865283966
151000,475.88890767097473
152000,478.9396312236786
153000,482.0462951660156
154000,485.1065158843994
155000,488.23299765586853
156000,491.2924723625183
157000,494.39399313926697
158000,497.472220659256
159000,500.69511342048645
160000,504.3640658855438
161000,507.52900099754333
162000,510.7514500617981
163000,513.9908215999603
164000,517.2814407348633
165000,520.4649384021759
166000,523.6529169082642
167000,526.8474004268646
168000,529.9361453056335
169000,532.96515583992
170000,536.0350189208984
171000,539.0494091510773
172000,542.1085157394409
173000,545.3245439529419
174000,548.4683010578156
175000,551.4819707870483
176000,554.5594229698181
177000,557.574508190155
178000,561.1419742107391
179000,564.1821842193604
180000,567.1620573997498
181000,570.2193357944489
182000,573.3000626564026
183000,576.406218290329
184000,579.4542841911316
185000,582.5052697658539
186000,585.6317465305328
187000,588.7596800327301
188000,591.8302030563354
189000,594.819100856781
190000,597.8129825592041
191000,600.8733177185059
192000,603.9460117816925
193000,606.965313911438
194000,610.0181596279144
195000,613.093786239624
196000,616.215827703476
197000,619.2587587833405
198000,622.3055543899536
199000,625.3048086166382
200000,628.3648223876953
201000,631.3552095890045
202000,634.4432401657104
203000,637.4544711112976
204000,640.5047824382782
205000,643.5030698776245
206000,646.563791513443
207000,649.5614755153656
208000,652.6147711277008
209000,655.6203453540802
210000,658.6433918476105
211000,661.7374813556671
212000,664.8207461833954
213000,667.7331509590149
214000,670.62908244133
215000,673.5136005878448
216000,676.662540435791
217000,679.850771188736
218000,683.1844742298126
219000,686.2540142536163
220000,689.2956757545471
221000,692.4569284915924
222000,695.5976092815399
223000,698.7738666534424
224000,701.80197930336
225000,704.8567907810211
226000,707.8718736171722
227000,710.8707499504089
228000,713.8805129528046
229000,716.8165740966797
230000,719.8673038482666
231000,722.906313419342
232000,725.9302241802216
233000,728.935560464859
234000,732.057689666748
235000,735.0357050895691
236000,738.0199692249298
237000,740.9489078521729
238000,743.8353772163391
239000,746.8504102230072
240000,749.8801121711731
241000,752.9383034706116
242000,755.9507040977478
243000,759.0331788063049
244000,762.0794305801392
245000,765.1203973293304
246000,768.1479601860046
247000,771.2132761478424
248000,774.254546880722
249000,777.3465240001678
250000,780.4812638759613
251000,783.6352281570435
252000,786.7289886474609
253000,789.7694325447083
254000,792.9832558631897
255000,796.0884490013123
256000,799.2684018611908
257000,802.4897058010101
258000,805.6409814357758
259000,808.7325882911682
260000,811.7528936862946
261000,814.971204996109
262000,818.0994729995728
263000,821.1613967418671
264000,824.2085027694702
265000,827.2971031665802
266000,830.2932047843933
267000,833.5343778133392
268000,836.6738631725311
269000,839.9242808818817
270000,843.1117489337921
271000,846.3182435035706
272000,849.5706577301025
273000,852.7119061946869
274000,856.0283138751984
275000,859.1888637542725
276000,862.4136734008789
277000,865.5568804740906
278000,868.6920735836029
279000,871.9071867465973
280000,875.1560678482056
281000,878.4397668838501
282000,881.5683922767639
283000,884.6421408653259
284000,887.7043900489807
285000,890.911719083786
286000,894.0096809864044
287000,897.1916456222534
288000,900.286248922348
289000,903.4497237205505
290000,906.6466624736786
291000,909.8170521259308
292000,912.9670450687408
293000,916.0519399642944
294000,919.2683629989624
295000,922.3540699481964
296000,925.5679738521576
297000,928.9215273857117
298000,932.0962917804718
299000,935.3955571651459
300000,939.3466219902039
301000,942.9418261051178
302000,946.2531943321228
303000,949.5669991970062
304000,952.9732360839844
305000,956.6876118183136
306000,960.5642595291138
307000,963.8297779560089
308000,967.1060161590576
309000,970.5273838043213
310000,973.885048866272
311000,977.212235212326
312000,980.7911067008972
313000,984.1750438213348
314000,987.5334057807922
315000,990.7534158229828
316000,994.0642507076263
317000,997.2758612632751
318000,1000.7488923072815
319000,1004.0603594779968
320000,1007.4054775238037
321000,1010.7096476554871
322000,1013.9436159133911
323000,1017.2294642925262
324000,1020.4356932640076
325000,1023.7215704917908
326000,1026.9589674472809
327000,1030.659559726715
328000,1034.2457880973816
329000,1037.6874949932098
330000,1041.1067214012146
331000,1044.4424695968628
332000,1047.8568737506866
333000,1051.2257251739502
334000,1054.5321161746979
335000,1057.846837759018
336000,1061.5192046165466
337000,1064.9714498519897
338000,1068.3526270389557
339000,1071.7904386520386
