r,l,t
340.0,1787,5.883207321166992
360.0,1787,11.74743938446045
360.0,1774,17.452650785446167
360.0,1854,23.642669200897217
420.0,1787,29.367190837860107
320.0,1658,34.98456954956055
280.0,1629,40.28396701812744
300.0,1616,45.6591796875
420.0,1826,51.36568570137024
360.0,1773,56.928268909454346
380.0,1765,62.611531496047974
380.0,1792,68.24957203865051
360.0,1788,73.86909556388855
420.0,1789,79.39434838294983
120.0,1058,82.83232736587524
380.0,1820,88.43811392784119
400.0,1790,93.96866703033447
440.0,1820,99.87789678573608
420.0,1821,105.75370383262634
380.0,1784,111.27345657348633
600.0,2508,118.99615526199341
380.0,1821,124.6750819683075
320.0,1773,130.20727372169495
380.0,1639,135.34209084510803
340.0,1787,140.84064602851868
300.0,1615,145.95026993751526
320.0,1787,151.55456805229187
360.0,1789,157.17521286010742
300.0,1787,162.9331831932068
300.0,1819,168.94363832473755
300.0,1787,174.62626004219055
480.0,1819,180.47209882736206
280.0,1787,186.23915696144104
320.0,1821,191.83892440795898
380.0,1787,197.61884784698486
220.0,1769,203.21447849273682
420.0,1798,209.07194542884827
420.0,4500,223.13612818717957
320.0,1819,228.76002287864685
560.0,2390,236.02593851089478
380.0,1826,241.55518746376038
460.0,1790,246.99358367919922
360.0,1793,252.44329500198364
480.0,1788,258.1836607456207
340.0,1787,263.8831481933594
420.0,1796,269.80577850341797
300.0,1790,275.4932792186737
300.0,1805,281.3605628013611
360.0,1819,287.08989334106445
420.0,1819,292.7891516685486
300.0,1745,298.2159390449524
360.0,1790,303.7972493171692
400.0,1791,309.21405506134033
260.0,1786,314.79714798927307
360.0,1791,320.5583379268646
240.0,1628,325.593710899353
300.0,1628,330.60567116737366
380.0,1820,336.3748154640198
340.0,1632,341.3932526111603
740.0,4500,355.9758679866791
280.0,1774,361.5854525566101
360.0,1866,367.3626720905304
440.0,1792,372.89241075515747
340.0,1796,378.48866605758667
240.0,1615,383.76307368278503
400.0,1819,389.67671251296997
320.0,1787,395.2895610332489
340.0,1790,400.9343259334564
320.0,1667,406.0042018890381
360.0,1788,411.41262793540955
320.0,1853,417.03830885887146
300.0,1755,422.5146424770355
460.0,1854,428.3366298675537
360.0,1851,434.1082100868225
380.0,1790,439.5432016849518
360.0,1823,445.25432872772217
400.0,1787,450.7722294330597
360.0,1822,456.3869035243988
280.0,1766,461.86904883384705
680.0,2559,469.72135949134827
400.0,1776,475.1554582118988
400.0,1822,480.7649471759796
320.0,1787,486.30079984664917
320.0,1787,491.80901193618774
360.0,1852,497.5392849445343
420.0,1861,503.92958998680115
340.0,1851,509.8512554168701
620.0,2270,517.294095993042
440.0,1822,523.0379362106323
260.0,1766,528.6455237865448
340.0,1787,534.1098823547363
380.0,1787,539.5606715679169
360.0,1787,545.1294414997101
880.0,2485,552.8103134632111
260.0,1608,557.711982011795
420.0,1830,563.7593302726746
340.0,1794,569.1366333961487
480.0,2325,576.3468022346497
280.0,1629,581.3102066516876
300.0,1798,586.9334299564362
220.0,1798,592.4865481853485
200.0,1819,597.9320967197418
280.0,1791,603.3846879005432
180.0,1456,607.824319601059
260.0,1775,613.2875599861145
260.0,1814,618.8321762084961
540.0,2468,626.3500678539276
760.0,2531,634.0104072093964
380.0,1819,639.5375843048096
520.0,1887,645.2458245754242
320.0,1787,650.6673049926758
360.0,1820,656.1773090362549
340.0,1834,661.8010275363922
420.0,4500,675.0817711353302
280.0,1617,680.3166859149933
340.0,1798,686.0075132846832
280.0,1787,691.5141468048096
220.0,1629,696.7364766597748
460.0,1806,702.2769691944122
240.0,1630,707.1801557540894
280.0,1787,712.5688648223877
280.0,1643,717.4747474193573
240.0,1633,722.4047129154205
860.0,2990,731.5294048786163
440.0,4500,744.7990190982819
340.0,1789,750.2690651416779
800.0,2784,758.7086477279663
300.0,1618,763.6745235919952
300.0,1761,769.0255522727966
400.0,1854,774.6957921981812
360.0,1789,780.2284655570984
340.0,1788,785.8383145332336
420.0,1806,791.4364326000214
280.0,1760,797.000016450882
380.0,1787,802.7302711009979
380.0,1852,808.4703629016876
360.0,1787,814.0311176776886
380.0,1820,819.7251389026642
280.0,1790,825.1631872653961
720.0,2593,833.2130086421967
360.0,1819,839.0673673152924
300.0,1854,844.9821043014526
300.0,1787,850.7524375915527
380.0,1793,856.5684578418732
200.0,1470,861.2245321273804
280.0,1787,866.8795075416565
460.0,1795,872.6325235366821
320.0,1770,878.3753304481506
360.0,1819,884.0282852649689
320.0,1806,889.650048494339
400.0,1820,895.360377073288
320.0,1787,900.9840786457062
60.0,770,903.3957676887512
380.0,1792,909.0973033905029
340.0,1630,914.2291889190674
280.0,1787,919.8893055915833
240.0,1633,925.0082831382751
340.0,1842,931.010274887085
360.0,1834,937.3871104717255
460.0,1819,944.0254149436951
380.0,1793,950.0037322044373
300.0,1629,955.7283480167389
380.0,1822,962.4382929801941
400.0,1788,968.2797801494598
220.0,1788,974.361088514328
380.0,1789,980.5039439201355
380.0,1787,986.5815625190735
320.0,1775,992.3993153572083
220.0,1787,998.2332105636597
420.0,1791,1004.3304162025452
360.0,1789,1010.2425646781921
380.0,1806,1016.1353900432587
360.0,1693,1021.617653131485
300.0,1661,1027.0567035675049
300.0,1820,1033.6649799346924
300.0,1661,1039.397227525711
340.0,1790,1045.4367520809174
440.0,1788,1051.5210676193237
340.0,1858,1057.610482931137
300.0,1819,1064.1182298660278
340.0,1789,1070.2120997905731
380.0,1819,1076.406171321869
360.0,1821,1082.5350115299225
320.0,1740,1088.328426361084
340.0,1811,1094.320348739624
260.0,1788,1100.2731637954712
480.0,1853,1106.395910024643
300.0,1752,1112.1635482311249
580.0,2532,1120.5169360637665
340.0,1787,1126.4163665771484
300.0,1787,1132.3392541408539
360.0,1790,1138.3759706020355
300.0,1788,1144.256297826767
180.0,1628,1149.5358810424805
380.0,1787,1155.389147758484
460.0,1852,1161.4811928272247
240.0,1774,1167.3083209991455
320.0,1787,1173.2241551876068
360.0,1788,1179.0417721271515
420.0,1793,1184.7836244106293
320.0,1799,1190.9197206497192
320.0,1774,1196.810328245163
220.0,1790,1202.989027261734
240.0,1648,1208.5694105625153
320.0,1787,1214.5607900619507
260.0,1772,1220.7457127571106
400.0,1823,1228.2831704616547
340.0,1793,1234.626859664917
300.0,1798,1240.8565845489502
400.0,1810,1246.8979802131653
260.0,1808,1252.8612504005432
360.0,1838,1258.9223988056183
380.0,1788,1264.850427389145
380.0,1820,1270.8817088603973
440.0,4500,1285.4053151607513
420.0,1839,1291.4504582881927
360.0,1824,1297.462718963623
260.0,1769,1303.2729756832123
300.0,1771,1309.094848394394
320.0,1787,1314.9806492328644
240.0,1794,1320.887348651886
340.0,1789,1326.631685256958
320.0,1787,1332.5529205799103
320.0,1819,1338.563146829605
300.0,1827,1344.511745929718
360.0,1787,1350.4987635612488
420.0,1856,1356.6248996257782
340.0,1774,1362.4350118637085
200.0,1612,1367.9181818962097
520.0,4500,1382.5789675712585
320.0,1822,1388.646250963211
340.0,1851,1394.7490811347961
420.0,1852,1400.7925779819489
280.0,1820,1406.7606272697449
740.0,4500,1421.3632628917694
340.0,1792,1427.3931639194489
320.0,1795,1433.2531926631927
380.0,1820,1439.196406841278
280.0,1788,1445.0833494663239
360.0,1789,1450.984842300415
